episode,global_step,sub_run_index,returns,episode_length
0,4,eval_idx00,12.0,12.0
0,4,eval_idx01,12.0,12.0
0,4,eval_idx02,24.0,24.0
0,4,eval_idx03,24.0,24.0
0,4,eval_idx04,26.0,26.0
0,4,eval_idx05,26.0,26.0
0,4,eval_idx06,10.0,10.0
0,4,eval_idx07,10.0,10.0
0,4,eval_idx08,19.0,19.0
0,4,eval_idx09,19.0,19.0
20,492,eval_idx00,15.0,15.0
20,492,eval_idx01,15.0,15.0
20,492,eval_idx02,16.0,16.0
20,492,eval_idx03,16.0,16.0
20,492,eval_idx04,17.0,17.0
20,492,eval_idx05,17.0,17.0
20,492,eval_idx06,18.0,18.0
20,492,eval_idx07,18.0,18.0
20,492,eval_idx08,18.0,18.0
20,492,eval_idx09,18.0,18.0
40,992,eval_idx00,28.0,28.0
40,992,eval_idx01,28.0,28.0
40,992,eval_idx02,30.0,30.0
40,992,eval_idx03,30.0,30.0
40,992,eval_idx04,33.0,33.0
40,992,eval_idx05,33.0,33.0
40,992,eval_idx06,39.0,39.0
40,992,eval_idx07,39.0,39.0
40,992,eval_idx08,13.0,13.0
40,992,eval_idx09,13.0,13.0
60,1540,eval_idx00,20.0,20.0
60,1540,eval_idx01,20.0,20.0
60,1540,eval_idx02,25.0,25.0
60,1540,eval_idx03,25.0,25.0
60,1540,eval_idx04,36.0,36.0
60,1540,eval_idx05,36.0,36.0
60,1540,eval_idx06,17.0,17.0
60,1540,eval_idx07,17.0,17.0
60,1540,eval_idx08,19.0,19.0
60,1540,eval_idx09,19.0,19.0
80,2132,eval_idx00,14.0,14.0
80,2132,eval_idx01,14.0,14.0
80,2132,eval_idx02,15.0,15.0
80,2132,eval_idx03,15.0,15.0
80,2132,eval_idx04,18.0,18.0
80,2132,eval_idx05,18.0,18.0
80,2132,eval_idx06,34.0,34.0
80,2132,eval_idx07,34.0,34.0
80,2132,eval_idx08,20.0,20.0
80,2132,eval_idx09,20.0,20.0
100,2648,eval_idx00,11.0,11.0
100,2648,eval_idx01,11.0,11.0
100,2648,eval_idx02,28.0,28.0
100,2648,eval_idx03,28.0,28.0
100,2648,eval_idx04,29.0,29.0
100,2648,eval_idx05,29.0,29.0
100,2648,eval_idx06,19.0,19.0
100,2648,eval_idx07,19.0,19.0
100,2648,eval_idx08,42.0,42.0
100,2648,eval_idx09,42.0,42.0
120,3144,eval_idx00,25.0,25.0
120,3144,eval_idx01,25.0,25.0
120,3144,eval_idx02,32.0,32.0
120,3144,eval_idx03,32.0,32.0
120,3144,eval_idx04,37.0,37.0
120,3144,eval_idx05,37.0,37.0
120,3144,eval_idx06,41.0,41.0
120,3144,eval_idx07,41.0,41.0
120,3144,eval_idx08,21.0,21.0
120,3144,eval_idx09,21.0,21.0
140,3852,eval_idx00,16.0,16.0
140,3852,eval_idx01,16.0,16.0
140,3852,eval_idx02,31.0,31.0
140,3852,eval_idx03,31.0,31.0
140,3852,eval_idx04,31.0,31.0
140,3852,eval_idx05,31.0,31.0
140,3852,eval_idx06,34.0,34.0
140,3852,eval_idx07,34.0,34.0
140,3852,eval_idx08,28.0,28.0
140,3852,eval_idx09,28.0,28.0
160,4472,eval_idx00,24.0,24.0
160,4472,eval_idx01,24.0,24.0
160,4472,eval_idx02,26.0,26.0
160,4472,eval_idx03,26.0,26.0
160,4472,eval_idx04,27.0,27.0
160,4472,eval_idx05,27.0,27.0
160,4472,eval_idx06,31.0,31.0
160,4472,eval_idx07,31.0,31.0
160,4472,eval_idx08,27.0,27.0
160,4472,eval_idx09,27.0,27.0
180,5260,eval_idx00,29.0,29.0
180,5260,eval_idx01,29.0,29.0
180,5260,eval_idx02,35.0,35.0
180,5260,eval_idx03,35.0,35.0
180,5260,eval_idx04,37.0,37.0
180,5260,eval_idx05,37.0,37.0
180,5260,eval_idx06,20.0,20.0
180,5260,eval_idx07,20.0,20.0
180,5260,eval_idx08,36.0,36.0
180,5260,eval_idx09,36.0,36.0
200,6212,eval_idx00,27.0,27.0
200,6212,eval_idx01,27.0,27.0
200,6212,eval_idx02,51.0,51.0
200,6212,eval_idx03,51.0,51.0
200,6212,eval_idx04,67.0,67.0
200,6212,eval_idx05,67.0,67.0
200,6212,eval_idx06,77.0,77.0
200,6212,eval_idx07,77.0,77.0
200,6212,eval_idx08,65.0,65.0
200,6212,eval_idx09,65.0,65.0
220,7016,eval_idx00,17.0,17.0
220,7016,eval_idx01,17.0,17.0
220,7016,eval_idx02,18.0,18.0
220,7016,eval_idx03,18.0,18.0
220,7016,eval_idx04,46.0,46.0
220,7016,eval_idx05,46.0,46.0
220,7016,eval_idx06,28.0,28.0
220,7016,eval_idx07,28.0,28.0
220,7016,eval_idx08,43.0,43.0
220,7016,eval_idx09,43.0,43.0
240,7928,eval_idx00,28.0,28.0
240,7928,eval_idx01,28.0,28.0
240,7928,eval_idx02,28.0,28.0
240,7928,eval_idx03,28.0,28.0
240,7928,eval_idx04,30.0,30.0
240,7928,eval_idx05,30.0,30.0
240,7928,eval_idx06,14.0,14.0
240,7928,eval_idx07,14.0,14.0
240,7928,eval_idx08,29.0,29.0
240,7928,eval_idx09,29.0,29.0
260,8864,eval_idx00,32.0,32.0
