episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,10.0,10.0
0,1,eval_idx01,10.0,10.0
0,1,eval_idx02,8.0,8.0
0,1,eval_idx03,8.0,8.0
0,1,eval_idx04,9.0,9.0
0,1,eval_idx05,9.0,9.0
0,1,eval_idx06,9.0,9.0
0,1,eval_idx07,9.0,9.0
0,1,eval_idx08,9.0,9.0
0,1,eval_idx09,9.0,9.0
20,454,eval_idx00,10.0,10.0
20,454,eval_idx01,10.0,10.0
20,454,eval_idx02,8.0,8.0
20,454,eval_idx03,8.0,8.0
20,454,eval_idx04,9.0,9.0
20,454,eval_idx05,9.0,9.0
20,454,eval_idx06,9.0,9.0
20,454,eval_idx07,9.0,9.0
20,454,eval_idx08,9.0,9.0
20,454,eval_idx09,9.0,9.0
40,853,eval_idx00,10.0,10.0
40,853,eval_idx01,10.0,10.0
40,853,eval_idx02,8.0,8.0
40,853,eval_idx03,8.0,8.0
40,853,eval_idx04,9.0,9.0
40,853,eval_idx05,9.0,9.0
40,853,eval_idx06,9.0,9.0
40,853,eval_idx07,9.0,9.0
40,853,eval_idx08,9.0,9.0
40,853,eval_idx09,9.0,9.0
60,1251,eval_idx00,10.0,10.0
60,1251,eval_idx01,10.0,10.0
60,1251,eval_idx02,8.0,8.0
60,1251,eval_idx03,8.0,8.0
60,1251,eval_idx04,9.0,9.0
60,1251,eval_idx05,9.0,9.0
60,1251,eval_idx06,9.0,9.0
60,1251,eval_idx07,9.0,9.0
60,1251,eval_idx08,9.0,9.0
60,1251,eval_idx09,9.0,9.0
80,1710,eval_idx00,10.0,10.0
80,1710,eval_idx01,10.0,10.0
80,1710,eval_idx02,8.0,8.0
80,1710,eval_idx03,8.0,8.0
80,1710,eval_idx04,9.0,9.0
80,1710,eval_idx05,9.0,9.0
80,1710,eval_idx06,9.0,9.0
80,1710,eval_idx07,9.0,9.0
80,1710,eval_idx08,9.0,9.0
80,1710,eval_idx09,9.0,9.0
100,2131,eval_idx00,10.0,10.0
100,2131,eval_idx01,10.0,10.0
