episode,global_step,sub_run_index,returns,episode_length
0,4,eval_idx00,9.0,9.0
0,4,eval_idx01,9.0,9.0
0,4,eval_idx02,14.0,14.0
0,4,eval_idx03,14.0,14.0
0,4,eval_idx04,20.0,20.0
0,4,eval_idx05,20.0,20.0
0,4,eval_idx06,20.0,20.0
0,4,eval_idx07,20.0,20.0
0,4,eval_idx08,22.0,22.0
0,4,eval_idx09,22.0,22.0
10,164,eval_idx00,9.0,9.0
10,164,eval_idx01,9.0,9.0
10,164,eval_idx02,11.0,11.0
10,164,eval_idx03,11.0,11.0
10,164,eval_idx04,13.0,13.0
10,164,eval_idx05,13.0,13.0
10,164,eval_idx06,15.0,15.0
10,164,eval_idx07,15.0,15.0
10,164,eval_idx08,16.0,16.0
10,164,eval_idx09,16.0,16.0
20,384,eval_idx00,9.0,9.0
20,384,eval_idx01,9.0,9.0
20,384,eval_idx02,10.0,10.0
20,384,eval_idx03,10.0,10.0
20,384,eval_idx04,13.0,13.0
20,384,eval_idx05,13.0,13.0
20,384,eval_idx06,14.0,14.0
20,384,eval_idx07,14.0,14.0
20,384,eval_idx08,17.0,17.0
20,384,eval_idx09,17.0,17.0
30,604,eval_idx00,17.0,17.0
30,604,eval_idx01,17.0,17.0
30,604,eval_idx02,18.0,18.0
30,604,eval_idx03,18.0,18.0
30,604,eval_idx04,19.0,19.0
30,604,eval_idx05,19.0,19.0
30,604,eval_idx06,23.0,23.0
30,604,eval_idx07,23.0,23.0
30,604,eval_idx08,27.0,27.0
30,604,eval_idx09,27.0,27.0
40,924,eval_idx00,10.0,10.0
40,924,eval_idx01,10.0,10.0
40,924,eval_idx02,10.0,10.0
40,924,eval_idx03,10.0,10.0
40,924,eval_idx04,13.0,13.0
40,924,eval_idx05,13.0,13.0
40,924,eval_idx06,18.0,18.0
40,924,eval_idx07,18.0,18.0
40,924,eval_idx08,18.0,18.0
40,924,eval_idx09,18.0,18.0
50,1460,eval_idx00,12.0,12.0
50,1460,eval_idx01,12.0,12.0
50,1460,eval_idx02,15.0,15.0
50,1460,eval_idx03,15.0,15.0
50,1460,eval_idx04,16.0,16.0
50,1460,eval_idx05,16.0,16.0
50,1460,eval_idx06,20.0,20.0
50,1460,eval_idx07,20.0,20.0
50,1460,eval_idx08,32.0,32.0
50,1460,eval_idx09,32.0,32.0
60,1800,eval_idx00,17.0,17.0
60,1800,eval_idx01,17.0,17.0
60,1800,eval_idx02,24.0,24.0
60,1800,eval_idx03,24.0,24.0
60,1800,eval_idx04,33.0,33.0
60,1800,eval_idx05,33.0,33.0
60,1800,eval_idx06,36.0,36.0
60,1800,eval_idx07,36.0,36.0
60,1800,eval_idx08,46.0,46.0
60,1800,eval_idx09,46.0,46.0
70,2676,eval_idx00,29.0,29.0
70,2676,eval_idx01,29.0,29.0
70,2676,eval_idx02,45.0,45.0
70,2676,eval_idx03,45.0,45.0
70,2676,eval_idx04,55.0,55.0
70,2676,eval_idx05,55.0,55.0
70,2676,eval_idx06,68.0,68.0
70,2676,eval_idx07,68.0,68.0
70,2676,eval_idx08,75.0,75.0
70,2676,eval_idx09,75.0,75.0
80,4036,eval_idx00,23.0,23.0
80,4036,eval_idx01,23.0,23.0
80,4036,eval_idx02,33.0,33.0
80,4036,eval_idx03,33.0,33.0
80,4036,eval_idx04,20.0,20.0
80,4036,eval_idx05,20.0,20.0
80,4036,eval_idx06,20.0,20.0
80,4036,eval_idx07,20.0,20.0
80,4036,eval_idx08,98.0,98.0
80,4036,eval_idx09,98.0,98.0
90,6832,eval_idx00,127.0,127.0
90,6832,eval_idx01,127.0,127.0
90,6832,eval_idx02,140.0,140.0
90,6832,eval_idx03,140.0,140.0
90,6832,eval_idx04,179.0,179.0
90,6832,eval_idx05,179.0,179.0
90,6832,eval_idx06,215.0,215.0
90,6832,eval_idx07,215.0,215.0
90,6832,eval_idx08,222.0,222.0
90,6832,eval_idx09,222.0,222.0
100,9448,eval_idx00,219.0,219.0
100,9448,eval_idx01,219.0,219.0
100,9448,eval_idx02,242.0,242.0
100,9448,eval_idx03,242.0,242.0
100,9448,eval_idx04,250.0,250.0
100,9448,eval_idx05,250.0,250.0
100,9448,eval_idx06,258.0,258.0
100,9448,eval_idx07,258.0,258.0
100,9448,eval_idx08,265.0,265.0
100,9448,eval_idx09,265.0,265.0
110,11456,eval_idx00,130.0,130.0
110,11456,eval_idx01,130.0,130.0
110,11456,eval_idx02,145.0,145.0
110,11456,eval_idx03,145.0,145.0
110,11456,eval_idx04,149.0,149.0
110,11456,eval_idx05,149.0,149.0
110,11456,eval_idx06,160.0,160.0
110,11456,eval_idx07,160.0,160.0
110,11456,eval_idx08,188.0,188.0
110,11456,eval_idx09,188.0,188.0
120,14304,eval_idx00,206.0,206.0
120,14304,eval_idx01,206.0,206.0
120,14304,eval_idx02,232.0,232.0
120,14304,eval_idx03,232.0,232.0
120,14304,eval_idx04,247.0,247.0
120,14304,eval_idx05,247.0,247.0
120,14304,eval_idx06,250.0,250.0
120,14304,eval_idx07,250.0,250.0
120,14304,eval_idx08,257.0,257.0
120,14304,eval_idx09,257.0,257.0
130,16504,eval_idx00,156.0,156.0
130,16504,eval_idx01,156.0,156.0
130,16504,eval_idx02,194.0,194.0
130,16504,eval_idx03,194.0,194.0
130,16504,eval_idx04,204.0,204.0
130,16504,eval_idx05,204.0,204.0
130,16504,eval_idx06,205.0,205.0
130,16504,eval_idx07,205.0,205.0
130,16504,eval_idx08,207.0,207.0
130,16504,eval_idx09,207.0,207.0
140,19016,eval_idx00,148.0,148.0
140,19016,eval_idx01,148.0,148.0
140,19016,eval_idx02,153.0,153.0
140,19016,eval_idx03,153.0,153.0
140,19016,eval_idx04,170.0,170.0
140,19016,eval_idx05,170.0,170.0
140,19016,eval_idx06,183.0,183.0
140,19016,eval_idx07,183.0,183.0
140,19016,eval_idx08,191.0,191.0
140,19016,eval_idx09,191.0,191.0
150,22260,eval_idx00,230.0,230.0
150,22260,eval_idx01,230.0,230.0
150,22260,eval_idx02,232.0,232.0
150,22260,eval_idx03,232.0,232.0
150,22260,eval_idx04,233.0,233.0
150,22260,eval_idx05,233.0,233.0
150,22260,eval_idx06,239.0,239.0
150,22260,eval_idx07,239.0,239.0
150,22260,eval_idx08,255.0,255.0
150,22260,eval_idx09,255.0,255.0
160,24824,eval_idx00,262.0,262.0
160,24824,eval_idx01,262.0,262.0
160,24824,eval_idx02,262.0,262.0
160,24824,eval_idx03,262.0,262.0
160,24824,eval_idx04,273.0,273.0
160,24824,eval_idx05,273.0,273.0
160,24824,eval_idx06,285.0,285.0
160,24824,eval_idx07,285.0,285.0
160,24824,eval_idx08,296.0,296.0
160,24824,eval_idx09,296.0,296.0
170,28232,eval_idx00,129.0,129.0
170,28232,eval_idx01,129.0,129.0
170,28232,eval_idx02,233.0,233.0
170,28232,eval_idx03,233.0,233.0
170,28232,eval_idx04,268.0,268.0
170,28232,eval_idx05,268.0,268.0
170,28232,eval_idx06,273.0,273.0
170,28232,eval_idx07,273.0,273.0
170,28232,eval_idx08,279.0,279.0
170,28232,eval_idx09,279.0,279.0
180,31412,eval_idx00,185.0,185.0
180,31412,eval_idx01,185.0,185.0
180,31412,eval_idx02,199.0,199.0
180,31412,eval_idx03,199.0,199.0
180,31412,eval_idx04,210.0,210.0
180,31412,eval_idx05,210.0,210.0
180,31412,eval_idx06,237.0,237.0
180,31412,eval_idx07,237.0,237.0
180,31412,eval_idx08,243.0,243.0
180,31412,eval_idx09,243.0,243.0
190,35400,eval_idx00,111.0,111.0
190,35400,eval_idx01,111.0,111.0
190,35400,eval_idx02,123.0,123.0
190,35400,eval_idx03,123.0,123.0
190,35400,eval_idx04,220.0,220.0
190,35400,eval_idx05,220.0,220.0
190,35400,eval_idx06,221.0,221.0
190,35400,eval_idx07,221.0,221.0
190,35400,eval_idx08,254.0,254.0
190,35400,eval_idx09,254.0,254.0
200,38568,eval_idx00,122.0,122.0
200,38568,eval_idx01,122.0,122.0
200,38568,eval_idx02,212.0,212.0
200,38568,eval_idx03,212.0,212.0
200,38568,eval_idx04,217.0,217.0
200,38568,eval_idx05,217.0,217.0
200,38568,eval_idx06,138.0,138.0
200,38568,eval_idx07,138.0,138.0
200,38568,eval_idx08,281.0,281.0
200,38568,eval_idx09,281.0,281.0
210,42568,eval_idx00,158.0,158.0
210,42568,eval_idx01,158.0,158.0
210,42568,eval_idx02,238.0,238.0
210,42568,eval_idx03,238.0,238.0
210,42568,eval_idx04,255.0,255.0
210,42568,eval_idx05,255.0,255.0
210,42568,eval_idx06,320.0,320.0
210,42568,eval_idx07,320.0,320.0
210,42568,eval_idx08,396.0,396.0
210,42568,eval_idx09,396.0,396.0
220,47012,eval_idx00,146.0,146.0
220,47012,eval_idx01,146.0,146.0
220,47012,eval_idx02,500.0,500.0
220,47012,eval_idx03,500.0,500.0
220,47012,eval_idx04,500.0,500.0
220,47012,eval_idx05,500.0,500.0
220,47012,eval_idx06,500.0,500.0
220,47012,eval_idx07,500.0,500.0
220,47012,eval_idx08,500.0,500.0
220,47012,eval_idx09,500.0,500.0
230,51556,eval_idx00,286.0,286.0
230,51556,eval_idx01,286.0,286.0
230,51556,eval_idx02,500.0,500.0
230,51556,eval_idx03,500.0,500.0
230,51556,eval_idx04,500.0,500.0
230,51556,eval_idx05,500.0,500.0
230,51556,eval_idx06,500.0,500.0
230,51556,eval_idx07,500.0,500.0
230,51556,eval_idx08,500.0,500.0
230,51556,eval_idx09,500.0,500.0
