episode,global_step,sub_run_index,returns,episode_length
0,4,eval_idx00,14.0,14.0
0,4,eval_idx01,14.0,14.0
0,4,eval_idx02,17.0,17.0
0,4,eval_idx03,17.0,17.0
0,4,eval_idx04,17.0,17.0
0,4,eval_idx05,17.0,17.0
0,4,eval_idx06,17.0,17.0
0,4,eval_idx07,17.0,17.0
0,4,eval_idx08,18.0,18.0
0,4,eval_idx09,18.0,18.0
20,692,eval_idx00,11.0,11.0
20,692,eval_idx01,11.0,11.0
20,692,eval_idx02,13.0,13.0
20,692,eval_idx03,13.0,13.0
20,692,eval_idx04,14.0,14.0
20,692,eval_idx05,14.0,14.0
20,692,eval_idx06,15.0,15.0
20,692,eval_idx07,15.0,15.0
20,692,eval_idx08,20.0,20.0
20,692,eval_idx09,20.0,20.0
40,1252,eval_idx00,11.0,11.0
40,1252,eval_idx01,11.0,11.0
40,1252,eval_idx02,13.0,13.0
40,1252,eval_idx03,13.0,13.0
40,1252,eval_idx04,14.0,14.0
40,1252,eval_idx05,14.0,14.0
40,1252,eval_idx06,20.0,20.0
40,1252,eval_idx07,20.0,20.0
40,1252,eval_idx08,33.0,33.0
40,1252,eval_idx09,33.0,33.0
60,2340,eval_idx00,18.0,18.0
60,2340,eval_idx01,18.0,18.0
60,2340,eval_idx02,38.0,38.0
60,2340,eval_idx03,38.0,38.0
60,2340,eval_idx04,42.0,42.0
60,2340,eval_idx05,42.0,42.0
60,2340,eval_idx06,60.0,60.0
60,2340,eval_idx07,60.0,60.0
60,2340,eval_idx08,23.0,23.0
60,2340,eval_idx09,23.0,23.0
80,5616,eval_idx00,17.0,17.0
80,5616,eval_idx01,17.0,17.0
80,5616,eval_idx02,199.0,199.0
80,5616,eval_idx03,199.0,199.0
80,5616,eval_idx04,189.0,189.0
80,5616,eval_idx05,189.0,189.0
80,5616,eval_idx06,228.0,228.0
80,5616,eval_idx07,228.0,228.0
80,5616,eval_idx08,252.0,252.0
80,5616,eval_idx09,252.0,252.0
100,12452,eval_idx00,280.0,280.0
100,12452,eval_idx01,280.0,280.0
100,12452,eval_idx02,314.0,314.0
100,12452,eval_idx03,314.0,314.0
100,12452,eval_idx04,333.0,333.0
100,12452,eval_idx05,333.0,333.0
100,12452,eval_idx06,408.0,408.0
100,12452,eval_idx07,408.0,408.0
100,12452,eval_idx08,418.0,418.0
100,12452,eval_idx09,418.0,418.0
120,19300,eval_idx00,177.0,177.0
120,19300,eval_idx01,177.0,177.0
120,19300,eval_idx02,241.0,241.0
120,19300,eval_idx03,241.0,241.0
120,19300,eval_idx04,267.0,267.0
120,19300,eval_idx05,267.0,267.0
120,19300,eval_idx06,311.0,311.0
120,19300,eval_idx07,311.0,311.0
120,19300,eval_idx08,381.0,381.0
120,19300,eval_idx09,381.0,381.0
140,28000,eval_idx00,500.0,500.0
140,28000,eval_idx01,500.0,500.0
140,28000,eval_idx02,500.0,500.0
140,28000,eval_idx03,500.0,500.0
140,28000,eval_idx04,500.0,500.0
140,28000,eval_idx05,500.0,500.0
140,28000,eval_idx06,500.0,500.0
140,28000,eval_idx07,500.0,500.0
140,28000,eval_idx08,500.0,500.0
140,28000,eval_idx09,500.0,500.0
160,38000,eval_idx00,500.0,500.0
160,38000,eval_idx01,500.0,500.0
160,38000,eval_idx02,500.0,500.0
160,38000,eval_idx03,500.0,500.0
160,38000,eval_idx04,500.0,500.0
160,38000,eval_idx05,500.0,500.0
160,38000,eval_idx06,500.0,500.0
160,38000,eval_idx07,500.0,500.0
160,38000,eval_idx08,500.0,500.0
160,38000,eval_idx09,500.0,500.0
180,47780,eval_idx00,500.0,500.0
180,47780,eval_idx01,500.0,500.0
180,47780,eval_idx02,500.0,500.0
180,47780,eval_idx03,500.0,500.0
180,47780,eval_idx04,500.0,500.0
180,47780,eval_idx05,500.0,500.0
180,47780,eval_idx06,500.0,500.0
180,47780,eval_idx07,500.0,500.0
180,47780,eval_idx08,500.0,500.0
180,47780,eval_idx09,500.0,500.0
200,57724,eval_idx00,107.0,107.0
200,57724,eval_idx01,107.0,107.0
200,57724,eval_idx02,111.0,111.0
200,57724,eval_idx03,111.0,111.0
200,57724,eval_idx04,117.0,117.0
200,57724,eval_idx05,117.0,117.0
200,57724,eval_idx06,152.0,152.0
200,57724,eval_idx07,152.0,152.0
200,57724,eval_idx08,159.0,159.0
200,57724,eval_idx09,159.0,159.0
220,65888,eval_idx00,500.0,500.0
220,65888,eval_idx01,500.0,500.0
220,65888,eval_idx02,500.0,500.0
220,65888,eval_idx03,500.0,500.0
220,65888,eval_idx04,500.0,500.0
220,65888,eval_idx05,500.0,500.0
220,65888,eval_idx06,500.0,500.0
220,65888,eval_idx07,500.0,500.0
220,65888,eval_idx08,500.0,500.0
220,65888,eval_idx09,500.0,500.0
240,74572,eval_idx00,500.0,500.0
240,74572,eval_idx01,500.0,500.0
240,74572,eval_idx02,500.0,500.0
240,74572,eval_idx03,500.0,500.0
240,74572,eval_idx04,500.0,500.0
240,74572,eval_idx05,500.0,500.0
240,74572,eval_idx06,500.0,500.0
240,74572,eval_idx07,500.0,500.0
240,74572,eval_idx08,500.0,500.0
240,74572,eval_idx09,500.0,500.0
260,83604,eval_idx00,305.0,305.0
260,83604,eval_idx01,305.0,305.0
260,83604,eval_idx02,361.0,361.0
260,83604,eval_idx03,361.0,361.0
260,83604,eval_idx04,368.0,368.0
260,83604,eval_idx05,368.0,368.0
260,83604,eval_idx06,410.0,410.0
260,83604,eval_idx07,410.0,410.0
260,83604,eval_idx08,444.0,444.0
260,83604,eval_idx09,444.0,444.0
280,91724,eval_idx00,500.0,500.0
280,91724,eval_idx01,500.0,500.0
280,91724,eval_idx02,500.0,500.0
280,91724,eval_idx03,500.0,500.0
280,91724,eval_idx04,500.0,500.0
280,91724,eval_idx05,500.0,500.0
280,91724,eval_idx06,500.0,500.0
280,91724,eval_idx07,500.0,500.0
280,91724,eval_idx08,500.0,500.0
280,91724,eval_idx09,500.0,500.0
300,101724,eval_idx00,500.0,500.0
300,101724,eval_idx01,500.0,500.0
300,101724,eval_idx02,500.0,500.0
300,101724,eval_idx03,500.0,500.0
300,101724,eval_idx04,500.0,500.0
300,101724,eval_idx05,500.0,500.0
300,101724,eval_idx06,500.0,500.0
300,101724,eval_idx07,500.0,500.0
300,101724,eval_idx08,500.0,500.0
300,101724,eval_idx09,500.0,500.0
320,111724,eval_idx00,500.0,500.0
320,111724,eval_idx01,500.0,500.0
320,111724,eval_idx02,500.0,500.0
320,111724,eval_idx03,500.0,500.0
320,111724,eval_idx04,500.0,500.0
320,111724,eval_idx05,500.0,500.0
320,111724,eval_idx06,500.0,500.0
320,111724,eval_idx07,500.0,500.0
320,111724,eval_idx08,500.0,500.0
320,111724,eval_idx09,500.0,500.0
340,121724,eval_idx00,500.0,500.0
340,121724,eval_idx01,500.0,500.0
340,121724,eval_idx02,500.0,500.0
340,121724,eval_idx03,500.0,500.0
