episode,global_step,sub_run_index,returns,episode_length
0,0,eval_idx00,-113.13279,59
0,0,eval_idx01,-135.08183,81
0,0,eval_idx02,-356.44925,84
0,0,eval_idx03,-405.99838,85
0,0,eval_idx04,-103.41066,85
0,0,eval_idx05,-273.03387,128
0,0,eval_idx06,-115.78371,57
0,0,eval_idx07,-331.41562,146
0,0,eval_idx08,-106.12074,76
0,0,eval_idx09,-333.26135,104
20,2328,eval_idx00,-113.13279,59
20,2328,eval_idx01,-116.43209,79
20,2328,eval_idx02,-101.17592,82
20,2328,eval_idx03,-356.44925,84
20,2328,eval_idx04,-407.47574,85
20,2328,eval_idx05,-273.03387,128
20,2328,eval_idx06,-115.78371,57
20,2328,eval_idx07,-331.4079,146
20,2328,eval_idx08,-333.26135,104
20,2328,eval_idx09,-307.91846,85
40,4474,eval_idx00,-130.01364,59
40,4474,eval_idx01,-116.43209,79
40,4474,eval_idx02,-363.0251,84
40,4474,eval_idx03,-406.0106,85
40,4474,eval_idx04,-103.452705,85
40,4474,eval_idx05,-280.59015,126
40,4474,eval_idx06,-115.78371,57
40,4474,eval_idx07,-331.4016,146
40,4474,eval_idx08,-333.26135,104
40,4474,eval_idx09,-307.91846,85
60,6715,eval_idx00,-130.01364,59
60,6715,eval_idx01,-116.43209,79
60,6715,eval_idx02,-363.0251,84
60,6715,eval_idx03,-406.0106,85
60,6715,eval_idx04,-103.452705,85
60,6715,eval_idx05,-280.59015,126
60,6715,eval_idx06,-115.78371,57
60,6715,eval_idx07,-331.4016,146
60,6715,eval_idx08,-333.26135,104
60,6715,eval_idx09,-307.91846,85
80,8926,eval_idx00,-130.01364,59
80,8926,eval_idx01,-116.43209,79
80,8926,eval_idx02,-363.0251,84
80,8926,eval_idx03,-406.0106,85
80,8926,eval_idx04,-103.452705,85
80,8926,eval_idx05,-280.59015,126
80,8926,eval_idx06,-115.78371,57
80,8926,eval_idx07,-331.4016,146
80,8926,eval_idx08,-333.26135,104
80,8926,eval_idx09,-307.91846,85
100,14522,eval_idx00,-49.418583,1000
100,14522,eval_idx01,-72.17687,1000
100,14522,eval_idx02,-75.286064,1000
100,14522,eval_idx03,-58.734753,1000
100,14522,eval_idx04,-35.1597,1000
100,14522,eval_idx05,5.365862,1000
100,14522,eval_idx06,-52.59106,1000
100,14522,eval_idx07,-35.405773,1000
100,14522,eval_idx08,-3.0147195,1000
100,14522,eval_idx09,-62.37878,1000
120,29305,eval_idx00,-181.2598,326
120,29305,eval_idx01,-25.388031,539
120,29305,eval_idx02,-95.137054,623
120,29305,eval_idx03,-118.56964,698
120,29305,eval_idx04,117.082016,738
120,29305,eval_idx05,152.10248,784
120,29305,eval_idx06,149.29251,787
120,29305,eval_idx07,142.42838,847
120,29305,eval_idx08,90.614075,981
120,29305,eval_idx09,-0.14847702,1000
140,42519,eval_idx00,-42.571545,327
140,42519,eval_idx01,-50.378044,349
140,42519,eval_idx02,174.37233,496
140,42519,eval_idx03,212.57191,558
140,42519,eval_idx04,-49.90825,228
140,42519,eval_idx05,131.08783,599
140,42519,eval_idx06,-99.20655,699
140,42519,eval_idx07,-173.41234,157
140,42519,eval_idx08,-149.10677,784
140,42519,eval_idx09,-142.9671,879
160,48251,eval_idx00,-55.03901,125
160,48251,eval_idx01,-28.384346,164
160,48251,eval_idx02,-37.05542,173
160,48251,eval_idx03,15.56665,199
160,48251,eval_idx04,-21.669884,199
160,48251,eval_idx05,199.25934,295
160,48251,eval_idx06,241.30974,337
160,48251,eval_idx07,-9.79319,182
160,48251,eval_idx08,265.63617,383
160,48251,eval_idx09,251.53017,285
180,54543,eval_idx00,-32.568443,103
180,54543,eval_idx01,-27.595085,105
180,54543,eval_idx02,-15.450676,125
180,54543,eval_idx03,-45.679134,127
180,54543,eval_idx04,25.302383,130
180,54543,eval_idx05,-34.19954,143
180,54543,eval_idx06,-54.95112,237
180,54543,eval_idx07,249.07167,237
180,54543,eval_idx08,-26.158646,153
180,54543,eval_idx09,29.126816,138
200,60495,eval_idx00,-1.6608276,160
200,60495,eval_idx01,8.823273,252
200,60495,eval_idx02,243.42032,295
200,60495,eval_idx03,-6.813202,351
200,60495,eval_idx04,-4.1895065,375
200,60495,eval_idx05,-0.21287537,238
200,60495,eval_idx06,237.14903,426
200,60495,eval_idx07,201.98941,439
200,60495,eval_idx08,212.98756,465
200,60495,eval_idx09,186.61035,481
220,68693,eval_idx00,-424.92734,191
220,68693,eval_idx01,-457.5406,194
220,68693,eval_idx02,-425.59293,205
220,68693,eval_idx03,-286.9886,222
220,68693,eval_idx04,240.2193,292
220,68693,eval_idx05,-100.45308,335
220,68693,eval_idx06,-59.66194,167
220,68693,eval_idx07,189.78105,417
220,68693,eval_idx08,194.50061,449
220,68693,eval_idx09,257.43915,260
240,76877,eval_idx00,244.26628,180
240,76877,eval_idx01,238.70226,192
240,76877,eval_idx02,284.75873,206
240,76877,eval_idx03,249.7708,215
240,76877,eval_idx04,280.98087,222
240,76877,eval_idx05,310.58484,260
240,76877,eval_idx06,218.97864,304
240,76877,eval_idx07,238.91803,314
240,76877,eval_idx08,171.38242,368
240,76877,eval_idx09,270.06897,418
260,83762,eval_idx00,279.76242,281
260,83762,eval_idx01,309.36566,283
260,83762,eval_idx02,246.1499,293
260,83762,eval_idx03,232.36389,314
260,83762,eval_idx04,222.62296,319
260,83762,eval_idx05,250.04944,321
260,83762,eval_idx06,263.58606,334
260,83762,eval_idx07,237.93855,340
260,83762,eval_idx08,246.46931,352
260,83762,eval_idx09,255.49405,305
280,91374,eval_idx00,49.24756,112
280,91374,eval_idx01,252.13597,157
280,91374,eval_idx02,254.84962,167
280,91374,eval_idx03,-172.08061,169
280,91374,eval_idx04,234.04228,175
280,91374,eval_idx05,254.60635,187
280,91374,eval_idx06,265.86298,192
280,91374,eval_idx07,268.50006,197
280,91374,eval_idx08,263.17386,137
280,91374,eval_idx09,29.707245,103
300,96610,eval_idx00,29.189972,104
300,96610,eval_idx01,250.0949,181
300,96610,eval_idx02,249.45383,213
300,96610,eval_idx03,247.40486,220
300,96610,eval_idx04,289.68198,224
300,96610,eval_idx05,266.0929,225
300,96610,eval_idx06,322.2304,255
300,96610,eval_idx07,256.5312,257
300,96610,eval_idx08,249.61563,309
300,96610,eval_idx09,271.815,207
320,102844,eval_idx00,260.86362,172
320,102844,eval_idx01,-154.63176,282
320,102844,eval_idx02,237.02592,305
320,102844,eval_idx03,-148.12498,306
320,102844,eval_idx04,273.3593,306
320,102844,eval_idx05,-167.46907,334
320,102844,eval_idx06,262.80188,190
320,102844,eval_idx07,242.69812,415
320,102844,eval_idx08,-202.32855,438
320,102844,eval_idx09,263.576,518
340,109164,eval_idx00,257.4534,234
340,109164,eval_idx01,234.58662,274
340,109164,eval_idx02,248.08266,278
340,109164,eval_idx03,254.07607,293
340,109164,eval_idx04,231.28595,324
340,109164,eval_idx05,274.29303,190
340,109164,eval_idx06,271.19104,507
340,109164,eval_idx07,275.6459,508
