episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,3.0,1009
0,1,eval_idx01,2.0,793
0,1,eval_idx02,2.0,793
0,1,eval_idx03,2.0,795
0,1,eval_idx04,2.0,812
0,1,eval_idx05,2.0,795
0,1,eval_idx06,2.0,803
0,1,eval_idx07,2.0,808
0,1,eval_idx08,2.0,806
0,1,eval_idx09,2.0,799
200,32863,eval_idx00,2.0,804
200,32863,eval_idx01,2.0,808
200,32863,eval_idx02,2.0,816
200,32863,eval_idx03,2.0,799
200,32863,eval_idx04,2.0,807
200,32863,eval_idx05,2.0,812
200,32863,eval_idx06,2.0,807
200,32863,eval_idx07,2.0,818
200,32863,eval_idx08,2.0,794
200,32863,eval_idx09,2.0,819
400,67009,eval_idx00,3.0,1009
400,67009,eval_idx01,2.0,791
400,67009,eval_idx02,2.0,801
400,67009,eval_idx03,2.0,809
400,67009,eval_idx04,2.0,794
400,67009,eval_idx05,2.0,812
400,67009,eval_idx06,2.0,799
400,67009,eval_idx07,2.0,811
400,67009,eval_idx08,2.0,815
400,67009,eval_idx09,2.0,805
600,100867,eval_idx00,1.0,691
600,100867,eval_idx01,1.0,681
600,100867,eval_idx02,1.0,690
600,100867,eval_idx03,2.0,798
600,100867,eval_idx04,1.0,685
600,100867,eval_idx05,1.0,690
600,100867,eval_idx06,2.0,798
600,100867,eval_idx07,2.0,798
600,100867,eval_idx08,1.0,685
600,100867,eval_idx09,1.0,678
800,135456,eval_idx00,0.0,526
800,135456,eval_idx01,5.0,1415
800,135456,eval_idx02,5.0,1407
800,135456,eval_idx03,0.0,540
800,135456,eval_idx04,5.0,1403
800,135456,eval_idx05,0.0,532
800,135456,eval_idx06,5.0,1419
800,135456,eval_idx07,0.0,522
800,135456,eval_idx08,0.0,528
800,135456,eval_idx09,0.0,528
1000,179904,eval_idx00,11.0,1108
1000,179904,eval_idx01,10.0,2151
1000,179904,eval_idx02,11.0,1092
1000,179904,eval_idx03,11.0,2462
1000,179904,eval_idx04,11.0,2458
1000,179904,eval_idx05,11.0,2454
1000,179904,eval_idx06,9.0,1957
1000,179904,eval_idx07,9.0,1957
1000,179904,eval_idx08,11.0,1092
1000,179904,eval_idx09,11.0,1104
1200,228283,eval_idx00,10.0,2274
1200,228283,eval_idx01,23.0,3028
1200,228283,eval_idx02,23.0,3008
1200,228283,eval_idx03,14.0,1495
1200,228283,eval_idx04,14.0,2192
1200,228283,eval_idx05,14.0,2196
1200,228283,eval_idx06,15.0,2669
1200,228283,eval_idx07,14.0,2196
1200,228283,eval_idx08,23.0,3004
1200,228283,eval_idx09,23.0,3032
1400,281913,eval_idx00,14.0,1536
1400,281913,eval_idx01,28.0,4062
1400,281913,eval_idx02,14.0,1552
1400,281913,eval_idx03,9.0,1831
1400,281913,eval_idx04,13.0,2508
1400,281913,eval_idx05,13.0,2500
1400,281913,eval_idx06,28.0,4062
1400,281913,eval_idx07,13.0,2512
1400,281913,eval_idx08,28.0,4062
1400,281913,eval_idx09,28.0,4058
1600,339713,eval_idx00,18.0,3083
1600,339713,eval_idx01,18.0,3103
1600,339713,eval_idx02,18.0,3099
1600,339713,eval_idx03,15.0,2853
1600,339713,eval_idx04,33.0,2541
1600,339713,eval_idx05,18.0,3099
1600,339713,eval_idx06,33.0,2541
1600,339713,eval_idx07,27.0,2984
1600,339713,eval_idx08,15.0,2857
1600,339713,eval_idx09,27.0,2988
1800,404804,eval_idx00,41.0,4134
1800,404804,eval_idx01,22.0,2616
1800,404804,eval_idx02,18.0,1885
1800,404804,eval_idx03,39.0,3429
1800,404804,eval_idx04,39.0,3433
1800,404804,eval_idx05,40.0,4770
1800,404804,eval_idx06,22.0,2600
1800,404804,eval_idx07,40.0,4798
1800,404804,eval_idx08,40.0,4782
1800,404804,eval_idx09,18.0,1877
2000,477289,eval_idx00,25.0,3192
2000,477289,eval_idx01,25.0,3196
2000,477289,eval_idx02,25.0,3188
2000,477289,eval_idx03,25.0,3212
2000,477289,eval_idx04,19.0,2940
2000,477289,eval_idx05,19.0,2956
2000,477289,eval_idx06,19.0,2964
2000,477289,eval_idx07,22.0,2887
2000,477289,eval_idx08,22.0,2891
2000,477289,eval_idx09,22.0,2891
2200,560931,eval_idx00,29.0,3012
2200,560931,eval_idx01,29.0,3016
2200,560931,eval_idx02,29.0,3016
2200,560931,eval_idx03,29.0,3008
2200,560931,eval_idx04,23.0,3571
2200,560931,eval_idx05,35.0,4066
2200,560931,eval_idx06,24.0,3714
2200,560931,eval_idx07,35.0,4062
2200,560931,eval_idx08,35.0,4062
2200,560931,eval_idx09,29.0,3016
2400,661777,eval_idx00,43.0,4396
2400,661777,eval_idx01,35.0,3414
2400,661777,eval_idx02,44.0,4703
2400,661777,eval_idx03,50.0,4399
2400,661777,eval_idx04,44.0,4711
2400,661777,eval_idx05,50.0,4395
2400,661777,eval_idx06,44.0,4695
2400,661777,eval_idx07,50.0,4387
2400,661777,eval_idx08,44.0,4703
2400,661777,eval_idx09,40.0,4235
2600,790644,eval_idx00,61.0,5404
2600,790644,eval_idx01,48.0,3923
2600,790644,eval_idx02,57.0,5473
2600,790644,eval_idx03,48.0,3931
2600,790644,eval_idx04,42.0,4241
2600,790644,eval_idx05,57.0,5477
2600,790644,eval_idx06,58.0,5276
2600,790644,eval_idx07,42.0,4245
2600,790644,eval_idx08,48.0,3931
2600,790644,eval_idx09,58.0,5268
2800,1002427,eval_idx00,50.0,5303
2800,1002427,eval_idx01,68.0,5336
2800,1002427,eval_idx02,62.0,5188
2800,1002427,eval_idx03,62.0,5188
2800,1002427,eval_idx04,68.0,5348
2800,1002427,eval_idx05,66.0,5250
2800,1002427,eval_idx06,68.0,5340
2800,1002427,eval_idx07,66.0,5230
2800,1002427,eval_idx08,60.0,5484
2800,1002427,eval_idx09,62.0,5192
3000,1275267,eval_idx00,93.0,5275
3000,1275267,eval_idx01,93.0,5267
3000,1275267,eval_idx02,82.0,5970
3000,1275267,eval_idx03,93.0,5251
3000,1275267,eval_idx04,82.0,5958
3000,1275267,eval_idx05,93.0,5271
3000,1275267,eval_idx06,76.0,5443
3000,1275267,eval_idx07,93.0,5267
3000,1275267,eval_idx08,82.0,5970
3000,1275267,eval_idx09,76.0,5439
3200,1567690,eval_idx00,196.0,7295
3200,1567690,eval_idx01,196.0,6707
3200,1567690,eval_idx02,102.0,5928
3200,1567690,eval_idx03,187.0,7378
3200,1567690,eval_idx04,102.0,5932
3200,1567690,eval_idx05,102.0,5920
3200,1567690,eval_idx06,187.0,7374
3200,1567690,eval_idx07,196.0,6719
3200,1567690,eval_idx08,187.0,7366
3200,1567690,eval_idx09,197.0,5200
3400,1880126,eval_idx00,287.0,6147
3400,1880126,eval_idx01,282.0,7458
3400,1880126,eval_idx02,287.0,6147
3400,1880126,eval_idx03,274.0,7044
3400,1880126,eval_idx04,274.0,7044
3400,1880126,eval_idx05,282.0,7462
3400,1880126,eval_idx06,311.0,5685
3400,1880126,eval_idx07,311.0,5693
