episode,global_step,sub_run_index,returns,episode_length
0,4,eval_idx00,13.0,13
0,4,eval_idx01,24.0,24
0,4,eval_idx02,25.0,25
0,4,eval_idx03,27.0,27
0,4,eval_idx04,14.0,14
0,4,eval_idx05,25.0,25
0,4,eval_idx06,13.0,13
0,4,eval_idx07,47.0,47
0,4,eval_idx08,36.0,36
0,4,eval_idx09,16.0,16
20,580,eval_idx00,12.0,12
20,580,eval_idx01,13.0,13
20,580,eval_idx02,21.0,21
20,580,eval_idx03,25.0,25
20,580,eval_idx04,19.0,19
20,580,eval_idx05,31.0,31
20,580,eval_idx06,19.0,19
20,580,eval_idx07,10.0,10
20,580,eval_idx08,47.0,47
20,580,eval_idx09,10.0,10
40,1260,eval_idx00,18.0,18
40,1260,eval_idx01,20.0,20
40,1260,eval_idx02,23.0,23
40,1260,eval_idx03,13.0,13
40,1260,eval_idx04,43.0,43
40,1260,eval_idx05,22.0,22
40,1260,eval_idx06,31.0,31
40,1260,eval_idx07,24.0,24
40,1260,eval_idx08,21.0,21
40,1260,eval_idx09,22.0,22
60,1916,eval_idx00,17.0,17
60,1916,eval_idx01,20.0,20
60,1916,eval_idx02,22.0,22
60,1916,eval_idx03,26.0,26
60,1916,eval_idx04,16.0,16
60,1916,eval_idx05,22.0,22
60,1916,eval_idx06,17.0,17
60,1916,eval_idx07,28.0,28
60,1916,eval_idx08,17.0,17
60,1916,eval_idx09,47.0,47
80,2552,eval_idx00,14.0,14
80,2552,eval_idx01,21.0,21
80,2552,eval_idx02,26.0,26
80,2552,eval_idx03,21.0,21
80,2552,eval_idx04,16.0,16
80,2552,eval_idx05,19.0,19
80,2552,eval_idx06,14.0,14
80,2552,eval_idx07,14.0,14
80,2552,eval_idx08,71.0,71
80,2552,eval_idx09,27.0,27
100,3324,eval_idx00,17.0,17
100,3324,eval_idx01,24.0,24
100,3324,eval_idx02,27.0,27
100,3324,eval_idx03,22.0,22
100,3324,eval_idx04,51.0,51
100,3324,eval_idx05,30.0,30
100,3324,eval_idx06,22.0,22
100,3324,eval_idx07,46.0,46
100,3324,eval_idx08,26.0,26
100,3324,eval_idx09,38.0,38
120,3844,eval_idx00,17.0,17
120,3844,eval_idx01,27.0,27
120,3844,eval_idx02,14.0,14
120,3844,eval_idx03,41.0,41
120,3844,eval_idx04,42.0,42
120,3844,eval_idx05,12.0,12
120,3844,eval_idx06,14.0,14
120,3844,eval_idx07,51.0,51
120,3844,eval_idx08,23.0,23
120,3844,eval_idx09,43.0,43
140,4496,eval_idx00,31.0,31
140,4496,eval_idx01,31.0,31
140,4496,eval_idx02,36.0,36
140,4496,eval_idx03,53.0,53
140,4496,eval_idx04,25.0,25
140,4496,eval_idx05,25.0,25
140,4496,eval_idx06,48.0,48
140,4496,eval_idx07,29.0,29
140,4496,eval_idx08,58.0,58
140,4496,eval_idx09,14.0,14
160,5404,eval_idx00,15.0,15
160,5404,eval_idx01,25.0,25
160,5404,eval_idx02,14.0,14
160,5404,eval_idx03,33.0,33
160,5404,eval_idx04,43.0,43
160,5404,eval_idx05,29.0,29
160,5404,eval_idx06,29.0,29
160,5404,eval_idx07,47.0,47
160,5404,eval_idx08,32.0,32
160,5404,eval_idx09,25.0,25
180,6300,eval_idx00,15.0,15
180,6300,eval_idx01,21.0,21
180,6300,eval_idx02,22.0,22
180,6300,eval_idx03,37.0,37
180,6300,eval_idx04,16.0,16
180,6300,eval_idx05,12.0,12
180,6300,eval_idx06,42.0,42
180,6300,eval_idx07,24.0,24
180,6300,eval_idx08,24.0,24
180,6300,eval_idx09,29.0,29
200,7140,eval_idx00,18.0,18
200,7140,eval_idx01,18.0,18
200,7140,eval_idx02,30.0,30
200,7140,eval_idx03,20.0,20
200,7140,eval_idx04,30.0,30
200,7140,eval_idx05,60.0,60
200,7140,eval_idx06,26.0,26
200,7140,eval_idx07,62.0,62
200,7140,eval_idx08,39.0,39
200,7140,eval_idx09,57.0,57
220,8200,eval_idx00,19.0,19
220,8200,eval_idx01,24.0,24
220,8200,eval_idx02,23.0,23
220,8200,eval_idx03,67.0,67
220,8200,eval_idx04,48.0,48
220,8200,eval_idx05,37.0,37
220,8200,eval_idx06,91.0,91
220,8200,eval_idx07,121.0,121
220,8200,eval_idx08,34.0,34
220,8200,eval_idx09,28.0,28
240,9304,eval_idx00,39.0,39
240,9304,eval_idx01,65.0,65
240,9304,eval_idx02,39.0,39
240,9304,eval_idx03,78.0,78
240,9304,eval_idx04,24.0,24
240,9304,eval_idx05,99.0,99
240,9304,eval_idx06,39.0,39
240,9304,eval_idx07,44.0,44
240,9304,eval_idx08,31.0,31
240,9304,eval_idx09,17.0,17
260,10492,eval_idx00,16.0,16
260,10492,eval_idx01,44.0,44
260,10492,eval_idx02,38.0,38
260,10492,eval_idx03,23.0,23
260,10492,eval_idx04,86.0,86
260,10492,eval_idx05,137.0,137
260,10492,eval_idx06,56.0,56
260,10492,eval_idx07,14.0,14
260,10492,eval_idx08,121.0,121
260,10492,eval_idx09,60.0,60
280,11824,eval_idx00,23.0,23
280,11824,eval_idx01,48.0,48
280,11824,eval_idx02,93.0,93
280,11824,eval_idx03,112.0,112
280,11824,eval_idx04,92.0,92
280,11824,eval_idx05,70.0,70
280,11824,eval_idx06,49.0,49
280,11824,eval_idx07,60.0,60
280,11824,eval_idx08,74.0,74
280,11824,eval_idx09,18.0,18
300,13316,eval_idx00,19.0,19
300,13316,eval_idx01,20.0,20
300,13316,eval_idx02,25.0,25
300,13316,eval_idx03,44.0,44
300,13316,eval_idx04,28.0,28
300,13316,eval_idx05,54.0,54
300,13316,eval_idx06,59.0,59
300,13316,eval_idx07,41.0,41
300,13316,eval_idx08,43.0,43
300,13316,eval_idx09,22.0,22
320,14648,eval_idx00,42.0,42
320,14648,eval_idx01,70.0,70
320,14648,eval_idx02,53.0,53
320,14648,eval_idx03,132.0,132
