episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,12.0,12
0,1,eval_idx01,15.0,15
0,1,eval_idx02,12.0,12
0,1,eval_idx03,13.0,13
0,1,eval_idx04,14.0,14
0,1,eval_idx05,11.0,11
0,1,eval_idx06,13.0,13
0,1,eval_idx07,15.0,15
0,1,eval_idx08,12.0,12
0,1,eval_idx09,11.0,11
20,512,eval_idx00,12.0,12
20,512,eval_idx01,15.0,15
20,512,eval_idx02,12.0,12
20,512,eval_idx03,13.0,13
20,512,eval_idx04,14.0,14
20,512,eval_idx05,11.0,11
20,512,eval_idx06,13.0,13
20,512,eval_idx07,15.0,15
20,512,eval_idx08,12.0,12
20,512,eval_idx09,11.0,11
40,927,eval_idx00,12.0,12
40,927,eval_idx01,15.0,15
40,927,eval_idx02,12.0,12
40,927,eval_idx03,13.0,13
40,927,eval_idx04,14.0,14
40,927,eval_idx05,11.0,11
40,927,eval_idx06,13.0,13
40,927,eval_idx07,15.0,15
40,927,eval_idx08,12.0,12
40,927,eval_idx09,11.0,11
60,1416,eval_idx00,11.0,11
60,1416,eval_idx01,15.0,15
60,1416,eval_idx02,12.0,12
60,1416,eval_idx03,13.0,13
60,1416,eval_idx04,13.0,13
60,1416,eval_idx05,10.0,10
60,1416,eval_idx06,12.0,12
60,1416,eval_idx07,14.0,14
60,1416,eval_idx08,12.0,12
60,1416,eval_idx09,10.0,10
80,1820,eval_idx00,9.0,9
80,1820,eval_idx01,10.0,10
80,1820,eval_idx02,9.0,9
80,1820,eval_idx03,10.0,10
80,1820,eval_idx04,10.0,10
80,1820,eval_idx05,8.0,8
80,1820,eval_idx06,9.0,9
80,1820,eval_idx07,10.0,10
80,1820,eval_idx08,9.0,9
80,1820,eval_idx09,9.0,9
100,2191,eval_idx00,9.0,9
100,2191,eval_idx01,10.0,10
100,2191,eval_idx02,9.0,9
100,2191,eval_idx03,10.0,10
100,2191,eval_idx04,10.0,10
100,2191,eval_idx05,8.0,8
100,2191,eval_idx06,9.0,9
100,2191,eval_idx07,10.0,10
100,2191,eval_idx08,9.0,9
100,2191,eval_idx09,9.0,9
120,2628,eval_idx00,9.0,9
120,2628,eval_idx01,10.0,10
120,2628,eval_idx02,9.0,9
120,2628,eval_idx03,10.0,10
120,2628,eval_idx04,10.0,10
120,2628,eval_idx05,8.0,8
120,2628,eval_idx06,9.0,9
120,2628,eval_idx07,10.0,10
120,2628,eval_idx08,9.0,9
120,2628,eval_idx09,9.0,9
140,3077,eval_idx00,9.0,9
140,3077,eval_idx01,10.0,10
140,3077,eval_idx02,9.0,9
140,3077,eval_idx03,10.0,10
140,3077,eval_idx04,10.0,10
140,3077,eval_idx05,8.0,8
140,3077,eval_idx06,9.0,9
140,3077,eval_idx07,10.0,10
140,3077,eval_idx08,9.0,9
140,3077,eval_idx09,9.0,9
160,3427,eval_idx00,9.0,9
160,3427,eval_idx01,10.0,10
160,3427,eval_idx02,9.0,9
160,3427,eval_idx03,10.0,10
160,3427,eval_idx04,10.0,10
160,3427,eval_idx05,8.0,8
160,3427,eval_idx06,9.0,9
160,3427,eval_idx07,10.0,10
160,3427,eval_idx08,9.0,9
160,3427,eval_idx09,9.0,9
180,3801,eval_idx00,9.0,9
180,3801,eval_idx01,10.0,10
180,3801,eval_idx02,9.0,9
180,3801,eval_idx03,10.0,10
180,3801,eval_idx04,10.0,10
180,3801,eval_idx05,8.0,8
180,3801,eval_idx06,9.0,9
180,3801,eval_idx07,10.0,10
180,3801,eval_idx08,9.0,9
180,3801,eval_idx09,9.0,9
200,4242,eval_idx00,9.0,9
200,4242,eval_idx01,10.0,10
200,4242,eval_idx02,9.0,9
200,4242,eval_idx03,10.0,10
200,4242,eval_idx04,10.0,10
