episode,global_step,sub_run_index,returns,episode_length
0,4,eval_idx00,27.0,27
0,4,eval_idx01,28.0,28
0,4,eval_idx02,37.0,37
0,4,eval_idx03,38.0,38
0,4,eval_idx04,39.0,39
0,4,eval_idx05,39.0,39
0,4,eval_idx06,41.0,41
0,4,eval_idx07,44.0,44
0,4,eval_idx08,45.0,45
0,4,eval_idx09,52.0,52
20,444,eval_idx00,28.0,28
20,444,eval_idx01,30.0,30
20,444,eval_idx02,31.0,31
20,444,eval_idx03,33.0,33
20,444,eval_idx04,37.0,37
20,444,eval_idx05,38.0,38
20,444,eval_idx06,41.0,41
20,444,eval_idx07,44.0,44
20,444,eval_idx08,53.0,53
20,444,eval_idx09,26.0,26
40,956,eval_idx00,42.0,42
40,956,eval_idx01,44.0,44
40,956,eval_idx02,47.0,47
40,956,eval_idx03,48.0,48
40,956,eval_idx04,49.0,49
40,956,eval_idx05,49.0,49
40,956,eval_idx06,55.0,55
40,956,eval_idx07,56.0,56
40,956,eval_idx08,63.0,63
40,956,eval_idx09,66.0,66
60,1680,eval_idx00,61.0,61
60,1680,eval_idx01,72.0,72
60,1680,eval_idx02,85.0,85
60,1680,eval_idx03,87.0,87
60,1680,eval_idx04,93.0,93
60,1680,eval_idx05,94.0,94
60,1680,eval_idx06,96.0,96
60,1680,eval_idx07,100.0,100
60,1680,eval_idx08,92.0,92
60,1680,eval_idx09,71.0,71
80,2544,eval_idx00,96.0,96
80,2544,eval_idx01,108.0,108
80,2544,eval_idx02,109.0,109
80,2544,eval_idx03,115.0,115
80,2544,eval_idx04,116.0,116
80,2544,eval_idx05,158.0,158
80,2544,eval_idx06,67.0,67
80,2544,eval_idx07,75.0,75
80,2544,eval_idx08,113.0,113
80,2544,eval_idx09,98.0,98
100,4404,eval_idx00,142.0,142
100,4404,eval_idx01,150.0,150
100,4404,eval_idx02,161.0,161
100,4404,eval_idx03,166.0,166
100,4404,eval_idx04,167.0,167
100,4404,eval_idx05,170.0,170
100,4404,eval_idx06,178.0,178
100,4404,eval_idx07,183.0,183
100,4404,eval_idx08,128.0,128
100,4404,eval_idx09,173.0,173
120,7940,eval_idx00,327.0,327
120,7940,eval_idx01,449.0,449
120,7940,eval_idx02,500.0,500
120,7940,eval_idx03,500.0,500
120,7940,eval_idx04,500.0,500
120,7940,eval_idx05,500.0,500
120,7940,eval_idx06,500.0,500
120,7940,eval_idx07,500.0,500
120,7940,eval_idx08,500.0,500
120,7940,eval_idx09,500.0,500
140,13136,eval_idx00,222.0,222
140,13136,eval_idx01,224.0,224
140,13136,eval_idx02,236.0,236
140,13136,eval_idx03,239.0,239
140,13136,eval_idx04,244.0,244
140,13136,eval_idx05,259.0,259
140,13136,eval_idx06,263.0,263
140,13136,eval_idx07,276.0,276
140,13136,eval_idx08,382.0,382
140,13136,eval_idx09,390.0,390
160,18580,eval_idx00,304.0,304
160,18580,eval_idx01,353.0,353
160,18580,eval_idx02,500.0,500
160,18580,eval_idx03,500.0,500
160,18580,eval_idx04,500.0,500
160,18580,eval_idx05,500.0,500
160,18580,eval_idx06,500.0,500
160,18580,eval_idx07,500.0,500
160,18580,eval_idx08,500.0,500
160,18580,eval_idx09,500.0,500
180,22596,eval_idx00,164.0,164
180,22596,eval_idx01,164.0,164
180,22596,eval_idx02,166.0,166
180,22596,eval_idx03,167.0,167
180,22596,eval_idx04,178.0,178
180,22596,eval_idx05,179.0,179
180,22596,eval_idx06,181.0,181
180,22596,eval_idx07,189.0,189
180,22596,eval_idx08,193.0,193
180,22596,eval_idx09,205.0,205
200,25332,eval_idx00,220.0,220
200,25332,eval_idx01,235.0,235
200,25332,eval_idx02,242.0,242
200,25332,eval_idx03,250.0,250
200,25332,eval_idx04,253.0,253
200,25332,eval_idx05,255.0,255
200,25332,eval_idx06,261.0,261
200,25332,eval_idx07,272.0,272
200,25332,eval_idx08,277.0,277
200,25332,eval_idx09,281.0,281
220,29160,eval_idx00,293.0,293
220,29160,eval_idx01,296.0,296
220,29160,eval_idx02,324.0,324
220,29160,eval_idx03,334.0,334
220,29160,eval_idx04,349.0,349
220,29160,eval_idx05,352.0,352
220,29160,eval_idx06,354.0,354
220,29160,eval_idx07,363.0,363
220,29160,eval_idx08,381.0,381
220,29160,eval_idx09,412.0,412
240,34852,eval_idx00,278.0,278
240,34852,eval_idx01,297.0,297
240,34852,eval_idx02,331.0,331
240,34852,eval_idx03,340.0,340
240,34852,eval_idx04,366.0,366
240,34852,eval_idx05,372.0,372
240,34852,eval_idx06,384.0,384
240,34852,eval_idx07,402.0,402
240,34852,eval_idx08,459.0,459
240,34852,eval_idx09,464.0,464
260,41032,eval_idx00,265.0,265
260,41032,eval_idx01,283.0,283
260,41032,eval_idx02,316.0,316
260,41032,eval_idx03,327.0,327
