episode,global_step,sub_run_index,returns,episode_length
0,4,eval_idx00,12.0,12
0,4,eval_idx01,15.0,15
0,4,eval_idx02,17.0,17
0,4,eval_idx03,17.0,17
0,4,eval_idx04,18.0,18
0,4,eval_idx05,19.0,19
0,4,eval_idx06,19.0,19
0,4,eval_idx07,23.0,23
0,4,eval_idx08,12.0,12
0,4,eval_idx09,17.0,17
20,412,eval_idx00,11.0,11
20,412,eval_idx01,12.0,12
20,412,eval_idx02,14.0,14
20,412,eval_idx03,14.0,14
20,412,eval_idx04,14.0,14
20,412,eval_idx05,21.0,21
20,412,eval_idx06,23.0,23
20,412,eval_idx07,13.0,13
20,412,eval_idx08,27.0,27
20,412,eval_idx09,26.0,26
40,1024,eval_idx00,13.0,13
40,1024,eval_idx01,14.0,14
40,1024,eval_idx02,15.0,15
40,1024,eval_idx03,16.0,16
40,1024,eval_idx04,28.0,28
40,1024,eval_idx05,22.0,22
40,1024,eval_idx06,36.0,36
40,1024,eval_idx07,23.0,23
40,1024,eval_idx08,15.0,15
40,1024,eval_idx09,12.0,12
60,1812,eval_idx00,25.0,25
60,1812,eval_idx01,30.0,30
60,1812,eval_idx02,38.0,38
60,1812,eval_idx03,11.0,11
60,1812,eval_idx04,43.0,43
60,1812,eval_idx05,58.0,58
60,1812,eval_idx06,21.0,21
60,1812,eval_idx07,35.0,35
60,1812,eval_idx08,67.0,67
60,1812,eval_idx09,68.0,68
80,3732,eval_idx00,55.0,55
80,3732,eval_idx01,81.0,81
80,3732,eval_idx02,106.0,106
80,3732,eval_idx03,111.0,111
80,3732,eval_idx04,129.0,129
80,3732,eval_idx05,135.0,135
80,3732,eval_idx06,29.0,29
80,3732,eval_idx07,146.0,146
80,3732,eval_idx08,91.0,91
80,3732,eval_idx09,187.0,187
100,8352,eval_idx00,144.0,144
100,8352,eval_idx01,317.0,317
100,8352,eval_idx02,327.0,327
100,8352,eval_idx03,336.0,336
100,8352,eval_idx04,360.0,360
100,8352,eval_idx05,385.0,385
100,8352,eval_idx06,419.0,419
100,8352,eval_idx07,427.0,427
100,8352,eval_idx08,441.0,441
100,8352,eval_idx09,495.0,495
120,14744,eval_idx00,474.0,474
120,14744,eval_idx01,500.0,500
120,14744,eval_idx02,500.0,500
120,14744,eval_idx03,500.0,500
120,14744,eval_idx04,500.0,500
120,14744,eval_idx05,500.0,500
120,14744,eval_idx06,500.0,500
120,14744,eval_idx07,500.0,500
120,14744,eval_idx08,500.0,500
120,14744,eval_idx09,500.0,500
140,24600,eval_idx00,158.0,158
140,24600,eval_idx01,223.0,223
140,24600,eval_idx02,235.0,235
140,24600,eval_idx03,336.0,336
140,24600,eval_idx04,225.0,225
140,24600,eval_idx05,450.0,450
140,24600,eval_idx06,500.0,500
140,24600,eval_idx07,500.0,500
140,24600,eval_idx08,500.0,500
140,24600,eval_idx09,500.0,500
160,33720,eval_idx00,327.0,327
160,33720,eval_idx01,332.0,332
160,33720,eval_idx02,335.0,335
160,33720,eval_idx03,351.0,351
160,33720,eval_idx04,421.0,421
160,33720,eval_idx05,425.0,425
160,33720,eval_idx06,426.0,426
160,33720,eval_idx07,456.0,456
160,33720,eval_idx08,500.0,500
160,33720,eval_idx09,500.0,500
180,43720,eval_idx00,500.0,500
180,43720,eval_idx01,500.0,500
180,43720,eval_idx02,500.0,500
180,43720,eval_idx03,500.0,500
180,43720,eval_idx04,500.0,500
180,43720,eval_idx05,500.0,500
180,43720,eval_idx06,500.0,500
180,43720,eval_idx07,500.0,500
180,43720,eval_idx08,500.0,500
180,43720,eval_idx09,500.0,500
200,52348,eval_idx00,241.0,241
200,52348,eval_idx01,285.0,285
200,52348,eval_idx02,358.0,358
200,52348,eval_idx03,366.0,366
200,52348,eval_idx04,366.0,366
200,52348,eval_idx05,372.0,372
200,52348,eval_idx06,390.0,390
200,52348,eval_idx07,395.0,395
200,52348,eval_idx08,404.0,404
200,52348,eval_idx09,236.0,236
220,61544,eval_idx00,500.0,500
220,61544,eval_idx01,500.0,500
220,61544,eval_idx02,500.0,500
220,61544,eval_idx03,500.0,500
220,61544,eval_idx04,500.0,500
220,61544,eval_idx05,500.0,500
220,61544,eval_idx06,500.0,500
220,61544,eval_idx07,500.0,500
220,61544,eval_idx08,500.0,500
220,61544,eval_idx09,500.0,500
240,71544,eval_idx00,500.0,500
240,71544,eval_idx01,500.0,500
240,71544,eval_idx02,500.0,500
240,71544,eval_idx03,500.0,500
240,71544,eval_idx04,500.0,500
240,71544,eval_idx05,500.0,500
240,71544,eval_idx06,500.0,500
240,71544,eval_idx07,500.0,500
240,71544,eval_idx08,500.0,500
240,71544,eval_idx09,500.0,500
260,80632,eval_idx00,500.0,500
260,80632,eval_idx01,500.0,500
260,80632,eval_idx02,500.0,500
260,80632,eval_idx03,500.0,500
260,80632,eval_idx04,500.0,500
260,80632,eval_idx05,500.0,500
260,80632,eval_idx06,500.0,500
260,80632,eval_idx07,500.0,500
260,80632,eval_idx08,500.0,500
260,80632,eval_idx09,500.0,500
280,90632,eval_idx00,500.0,500
280,90632,eval_idx01,500.0,500
280,90632,eval_idx02,500.0,500
280,90632,eval_idx03,500.0,500
280,90632,eval_idx04,500.0,500
280,90632,eval_idx05,500.0,500
280,90632,eval_idx06,500.0,500
280,90632,eval_idx07,500.0,500
280,90632,eval_idx08,500.0,500
280,90632,eval_idx09,500.0,500
300,100632,eval_idx00,500.0,500
300,100632,eval_idx01,500.0,500
300,100632,eval_idx02,500.0,500
300,100632,eval_idx03,500.0,500
300,100632,eval_idx04,500.0,500
300,100632,eval_idx05,500.0,500
300,100632,eval_idx06,500.0,500
300,100632,eval_idx07,500.0,500
300,100632,eval_idx08,500.0,500
300,100632,eval_idx09,500.0,500
320,110632,eval_idx00,500.0,500
320,110632,eval_idx01,500.0,500
320,110632,eval_idx02,500.0,500
320,110632,eval_idx03,500.0,500
320,110632,eval_idx04,500.0,500
320,110632,eval_idx05,500.0,500
320,110632,eval_idx06,500.0,500
320,110632,eval_idx07,500.0,500
320,110632,eval_idx08,500.0,500
320,110632,eval_idx09,500.0,500
340,120632,eval_idx00,500.0,500
340,120632,eval_idx01,500.0,500
340,120632,eval_idx02,500.0,500
340,120632,eval_idx03,500.0,500
340,120632,eval_idx04,500.0,500
340,120632,eval_idx05,500.0,500
340,120632,eval_idx06,500.0,500
340,120632,eval_idx07,500.0,500
340,120632,eval_idx08,500.0,500
340,120632,eval_idx09,500.0,500
360,130632,eval_idx00,500.0,500
360,130632,eval_idx01,500.0,500
360,130632,eval_idx02,500.0,500
360,130632,eval_idx03,500.0,500
360,130632,eval_idx04,500.0,500
360,130632,eval_idx05,500.0,500
360,130632,eval_idx06,500.0,500
360,130632,eval_idx07,500.0,500
360,130632,eval_idx08,500.0,500
360,130632,eval_idx09,500.0,500
380,140632,eval_idx00,500.0,500
380,140632,eval_idx01,500.0,500
380,140632,eval_idx02,500.0,500
380,140632,eval_idx03,500.0,500
380,140632,eval_idx04,500.0,500
380,140632,eval_idx05,500.0,500
380,140632,eval_idx06,500.0,500
380,140632,eval_idx07,500.0,500
380,140632,eval_idx08,500.0,500
380,140632,eval_idx09,500.0,500
400,150632,eval_idx00,500.0,500
400,150632,eval_idx01,500.0,500
400,150632,eval_idx02,500.0,500
400,150632,eval_idx03,500.0,500
400,150632,eval_idx04,500.0,500
400,150632,eval_idx05,500.0,500
400,150632,eval_idx06,500.0,500
400,150632,eval_idx07,500.0,500
400,150632,eval_idx08,500.0,500
400,150632,eval_idx09,500.0,500
420,160632,eval_idx00,500.0,500
420,160632,eval_idx01,500.0,500
420,160632,eval_idx02,500.0,500
420,160632,eval_idx03,500.0,500
420,160632,eval_idx04,500.0,500
420,160632,eval_idx05,500.0,500
420,160632,eval_idx06,500.0,500
420,160632,eval_idx07,500.0,500
420,160632,eval_idx08,500.0,500
420,160632,eval_idx09,500.0,500
440,170632,eval_idx00,500.0,500
440,170632,eval_idx01,500.0,500
440,170632,eval_idx02,500.0,500
440,170632,eval_idx03,500.0,500
440,170632,eval_idx04,500.0,500
440,170632,eval_idx05,500.0,500
440,170632,eval_idx06,500.0,500
440,170632,eval_idx07,500.0,500
440,170632,eval_idx08,500.0,500
440,170632,eval_idx09,500.0,500
460,180632,eval_idx00,500.0,500
460,180632,eval_idx01,500.0,500
460,180632,eval_idx02,500.0,500
460,180632,eval_idx03,500.0,500
460,180632,eval_idx04,500.0,500
460,180632,eval_idx05,500.0,500
460,180632,eval_idx06,500.0,500
460,180632,eval_idx07,500.0,500
460,180632,eval_idx08,500.0,500
460,180632,eval_idx09,500.0,500
480,190632,eval_idx00,500.0,500
480,190632,eval_idx01,500.0,500
480,190632,eval_idx02,500.0,500
480,190632,eval_idx03,500.0,500
480,190632,eval_idx04,500.0,500
480,190632,eval_idx05,500.0,500
480,190632,eval_idx06,500.0,500
480,190632,eval_idx07,500.0,500
480,190632,eval_idx08,500.0,500
480,190632,eval_idx09,500.0,500
500,200632,eval_idx00,500.0,500
500,200632,eval_idx01,500.0,500
500,200632,eval_idx02,500.0,500
500,200632,eval_idx03,500.0,500
500,200632,eval_idx04,500.0,500
500,200632,eval_idx05,500.0,500
500,200632,eval_idx06,500.0,500
500,200632,eval_idx07,500.0,500
500,200632,eval_idx08,500.0,500
500,200632,eval_idx09,500.0,500
520,210632,eval_idx00,500.0,500
520,210632,eval_idx01,500.0,500
520,210632,eval_idx02,500.0,500
520,210632,eval_idx03,500.0,500
520,210632,eval_idx04,500.0,500
520,210632,eval_idx05,500.0,500
520,210632,eval_idx06,500.0,500
520,210632,eval_idx07,500.0,500
520,210632,eval_idx08,500.0,500
520,210632,eval_idx09,500.0,500
540,218644,eval_idx00,500.0,500
540,218644,eval_idx01,500.0,500
540,218644,eval_idx02,500.0,500
540,218644,eval_idx03,500.0,500
540,218644,eval_idx04,500.0,500
540,218644,eval_idx05,500.0,500
540,218644,eval_idx06,500.0,500
540,218644,eval_idx07,500.0,500
540,218644,eval_idx08,500.0,500
540,218644,eval_idx09,500.0,500
560,228632,eval_idx00,500.0,500
560,228632,eval_idx01,500.0,500
560,228632,eval_idx02,500.0,500
560,228632,eval_idx03,500.0,500
560,228632,eval_idx04,500.0,500
560,228632,eval_idx05,500.0,500
560,228632,eval_idx06,500.0,500
560,228632,eval_idx07,500.0,500
560,228632,eval_idx08,500.0,500
560,228632,eval_idx09,500.0,500
580,238632,eval_idx00,500.0,500
580,238632,eval_idx01,500.0,500
580,238632,eval_idx02,500.0,500
580,238632,eval_idx03,500.0,500
580,238632,eval_idx04,500.0,500
580,238632,eval_idx05,500.0,500
580,238632,eval_idx06,500.0,500
580,238632,eval_idx07,500.0,500
580,238632,eval_idx08,500.0,500
580,238632,eval_idx09,500.0,500
600,248632,eval_idx00,500.0,500
600,248632,eval_idx01,500.0,500
600,248632,eval_idx02,500.0,500
600,248632,eval_idx03,500.0,500
600,248632,eval_idx04,500.0,500
600,248632,eval_idx05,500.0,500
600,248632,eval_idx06,500.0,500
600,248632,eval_idx07,500.0,500
600,248632,eval_idx08,500.0,500
600,248632,eval_idx09,500.0,500
620,258632,eval_idx00,500.0,500
620,258632,eval_idx01,500.0,500
620,258632,eval_idx02,500.0,500
620,258632,eval_idx03,500.0,500
620,258632,eval_idx04,500.0,500
620,258632,eval_idx05,500.0,500
620,258632,eval_idx06,500.0,500
620,258632,eval_idx07,500.0,500
620,258632,eval_idx08,500.0,500
620,258632,eval_idx09,500.0,500
640,268632,eval_idx00,500.0,500
640,268632,eval_idx01,500.0,500
640,268632,eval_idx02,500.0,500
640,268632,eval_idx03,500.0,500
640,268632,eval_idx04,500.0,500
640,268632,eval_idx05,500.0,500
640,268632,eval_idx06,500.0,500
640,268632,eval_idx07,500.0,500
640,268632,eval_idx08,500.0,500
640,268632,eval_idx09,500.0,500
660,278632,eval_idx00,500.0,500
660,278632,eval_idx01,500.0,500
660,278632,eval_idx02,500.0,500
660,278632,eval_idx03,500.0,500
660,278632,eval_idx04,500.0,500
660,278632,eval_idx05,500.0,500
660,278632,eval_idx06,500.0,500
660,278632,eval_idx07,500.0,500
660,278632,eval_idx08,500.0,500
660,278632,eval_idx09,500.0,500
680,288632,eval_idx00,500.0,500
680,288632,eval_idx01,500.0,500
680,288632,eval_idx02,500.0,500
680,288632,eval_idx03,500.0,500
680,288632,eval_idx04,500.0,500
680,288632,eval_idx05,500.0,500
680,288632,eval_idx06,500.0,500
680,288632,eval_idx07,500.0,500
680,288632,eval_idx08,500.0,500
680,288632,eval_idx09,500.0,500
700,298632,eval_idx00,500.0,500
700,298632,eval_idx01,500.0,500
700,298632,eval_idx02,500.0,500
700,298632,eval_idx03,500.0,500
700,298632,eval_idx04,500.0,500
700,298632,eval_idx05,500.0,500
700,298632,eval_idx06,500.0,500
700,298632,eval_idx07,500.0,500
700,298632,eval_idx08,500.0,500
700,298632,eval_idx09,500.0,500
720,308632,eval_idx00,500.0,500
720,308632,eval_idx01,500.0,500
720,308632,eval_idx02,500.0,500
720,308632,eval_idx03,500.0,500
720,308632,eval_idx04,500.0,500
720,308632,eval_idx05,500.0,500
720,308632,eval_idx06,500.0,500
720,308632,eval_idx07,500.0,500
720,308632,eval_idx08,500.0,500
720,308632,eval_idx09,500.0,500
740,318632,eval_idx00,500.0,500
740,318632,eval_idx01,500.0,500
740,318632,eval_idx02,500.0,500
740,318632,eval_idx03,500.0,500
740,318632,eval_idx04,500.0,500
740,318632,eval_idx05,500.0,500
740,318632,eval_idx06,500.0,500
740,318632,eval_idx07,500.0,500
740,318632,eval_idx08,500.0,500
740,318632,eval_idx09,500.0,500
760,328632,eval_idx00,500.0,500
760,328632,eval_idx01,500.0,500
760,328632,eval_idx02,500.0,500
760,328632,eval_idx03,500.0,500
760,328632,eval_idx04,500.0,500
760,328632,eval_idx05,500.0,500
760,328632,eval_idx06,500.0,500
760,328632,eval_idx07,500.0,500
760,328632,eval_idx08,500.0,500
760,328632,eval_idx09,500.0,500
780,338632,eval_idx00,500.0,500
780,338632,eval_idx01,500.0,500
780,338632,eval_idx02,500.0,500
780,338632,eval_idx03,500.0,500
780,338632,eval_idx04,500.0,500
780,338632,eval_idx05,500.0,500
780,338632,eval_idx06,500.0,500
780,338632,eval_idx07,500.0,500
780,338632,eval_idx08,500.0,500
780,338632,eval_idx09,500.0,500
800,348632,eval_idx00,500.0,500
800,348632,eval_idx01,500.0,500
800,348632,eval_idx02,500.0,500
800,348632,eval_idx03,500.0,500
800,348632,eval_idx04,500.0,500
800,348632,eval_idx05,500.0,500
800,348632,eval_idx06,500.0,500
800,348632,eval_idx07,500.0,500
800,348632,eval_idx08,500.0,500
800,348632,eval_idx09,500.0,500
820,358632,eval_idx00,500.0,500
820,358632,eval_idx01,500.0,500
820,358632,eval_idx02,500.0,500
820,358632,eval_idx03,500.0,500
820,358632,eval_idx04,500.0,500
820,358632,eval_idx05,500.0,500
820,358632,eval_idx06,500.0,500
820,358632,eval_idx07,500.0,500
820,358632,eval_idx08,500.0,500
820,358632,eval_idx09,500.0,500
840,368632,eval_idx00,500.0,500
840,368632,eval_idx01,500.0,500
840,368632,eval_idx02,500.0,500
840,368632,eval_idx03,500.0,500
840,368632,eval_idx04,500.0,500
840,368632,eval_idx05,500.0,500
840,368632,eval_idx06,500.0,500
840,368632,eval_idx07,500.0,500
840,368632,eval_idx08,500.0,500
840,368632,eval_idx09,500.0,500
860,378632,eval_idx00,500.0,500
860,378632,eval_idx01,500.0,500
860,378632,eval_idx02,500.0,500
860,378632,eval_idx03,500.0,500
860,378632,eval_idx04,500.0,500
860,378632,eval_idx05,500.0,500
860,378632,eval_idx06,500.0,500
860,378632,eval_idx07,500.0,500
860,378632,eval_idx08,500.0,500
860,378632,eval_idx09,500.0,500
880,388632,eval_idx00,500.0,500
880,388632,eval_idx01,500.0,500
880,388632,eval_idx02,500.0,500
880,388632,eval_idx03,500.0,500
880,388632,eval_idx04,500.0,500
