episode,global_step,sub_run_index,returns,episode_length
0,0,eval_idx00,-1366.6858,200
0,0,eval_idx01,-1184.5618,200
0,0,eval_idx02,-1502.0775,200
0,0,eval_idx03,-1515.9971,200
0,0,eval_idx04,-1158.3147,200
0,0,eval_idx05,-1358.1772,200
0,0,eval_idx06,-1373.6765,200
0,0,eval_idx07,-1176.202,200
0,0,eval_idx08,-1269.5254,200
0,0,eval_idx09,-1563.365,200
20,3999,eval_idx00,-1366.5541,200
20,3999,eval_idx01,-1184.7435,200
20,3999,eval_idx02,-1500.9761,200
20,3999,eval_idx03,-1515.1312,200
20,3999,eval_idx04,-1159.66,200
20,3999,eval_idx05,-1357.8451,200
20,3999,eval_idx06,-1373.6642,200
20,3999,eval_idx07,-1176.4692,200
20,3999,eval_idx08,-1269.5891,200
20,3999,eval_idx09,-1563.7827,200
40,7999,eval_idx00,-130.1232,200
40,7999,eval_idx01,-120.901596,200
40,7999,eval_idx02,-247.80603,200
40,7999,eval_idx03,-437.071,200
40,7999,eval_idx04,-117.96709,200
40,7999,eval_idx05,-0.72623956,200
40,7999,eval_idx06,-125.581184,200
40,7999,eval_idx07,-128.54987,200
40,7999,eval_idx08,-266.57208,200
40,7999,eval_idx09,-394.3554,200
60,11999,eval_idx00,-1.0075376,200
60,11999,eval_idx01,-116.35543,200
60,11999,eval_idx02,-228.38733,200
60,11999,eval_idx03,-245.83545,200
60,11999,eval_idx04,-116.60112,200
60,11999,eval_idx05,-1.1183071,200
60,11999,eval_idx06,-122.71258,200
60,11999,eval_idx07,-124.27769,200
60,11999,eval_idx08,-241.21626,200
60,11999,eval_idx09,-249.99275,200
80,15999,eval_idx00,-1.4011347,200
80,15999,eval_idx01,-116.645744,200
80,15999,eval_idx02,-229.68697,200
80,15999,eval_idx03,-245.77582,200
80,15999,eval_idx04,-116.54788,200
80,15999,eval_idx05,-0.87972826,200
80,15999,eval_idx06,-123.07596,200
80,15999,eval_idx07,-126.15507,200
80,15999,eval_idx08,-242.67085,200
80,15999,eval_idx09,-250.67743,200
100,19999,eval_idx00,-2.6157532,200
100,19999,eval_idx01,-116.58976,200
100,19999,eval_idx02,-229.80139,200
100,19999,eval_idx03,-243.80876,200
100,19999,eval_idx04,-116.460655,200
100,19999,eval_idx05,-0.913729,200
100,19999,eval_idx06,-122.41334,200
100,19999,eval_idx07,-128.13794,200
100,19999,eval_idx08,-244.79951,200
100,19999,eval_idx09,-246.96025,200
120,23999,eval_idx00,-127.16331,200
120,23999,eval_idx01,-116.52258,200
120,23999,eval_idx02,-228.79987,200
120,23999,eval_idx03,-243.30878,200
120,23999,eval_idx04,-116.41744,200
120,23999,eval_idx05,-0.79752415,200
120,23999,eval_idx06,-122.53981,200
120,23999,eval_idx07,-127.69744,200
120,23999,eval_idx08,-244.83807,200
120,23999,eval_idx09,-247.14774,200
140,27999,eval_idx00,-127.99017,200
140,27999,eval_idx01,-116.26309,200
140,27999,eval_idx02,-228.7293,200
140,27999,eval_idx03,-242.26706,200
140,27999,eval_idx04,-116.34267,200
140,27999,eval_idx05,-0.81465924,200
140,27999,eval_idx06,-123.00833,200
140,27999,eval_idx07,-127.5479,200
140,27999,eval_idx08,-244.39485,200
140,27999,eval_idx09,-245.99838,200
160,31999,eval_idx00,-127.58068,200
160,31999,eval_idx01,-116.598206,200
160,31999,eval_idx02,-229.22981,200
160,31999,eval_idx03,-243.22115,200
160,31999,eval_idx04,-116.64153,200
160,31999,eval_idx05,-1.0036525,200
160,31999,eval_idx06,-122.81167,200
160,31999,eval_idx07,-127.67869,200
160,31999,eval_idx08,-245.14456,200
160,31999,eval_idx09,-246.55304,200
180,35999,eval_idx00,-127.346275,200
180,35999,eval_idx01,-116.698395,200
180,35999,eval_idx02,-229.87355,200
180,35999,eval_idx03,-240.2517,200
180,35999,eval_idx04,-116.40895,200
180,35999,eval_idx05,-0.7479135,200
180,35999,eval_idx06,-122.48107,200
180,35999,eval_idx07,-127.630615,200
180,35999,eval_idx08,-244.88239,200
180,35999,eval_idx09,-243.88055,200
200,39999,eval_idx00,-127.77388,200
200,39999,eval_idx01,-116.782234,200
200,39999,eval_idx02,-229.42857,200
200,39999,eval_idx03,-240.61916,200
200,39999,eval_idx04,-116.74767,200
200,39999,eval_idx05,-0.8298025,200
200,39999,eval_idx06,-122.85347,200
200,39999,eval_idx07,-127.81069,200
200,39999,eval_idx08,-245.01314,200
200,39999,eval_idx09,-245.12242,200
220,43999,eval_idx00,-127.860695,200
220,43999,eval_idx01,-116.91252,200
220,43999,eval_idx02,-227.69249,200
220,43999,eval_idx03,-240.11671,200
220,43999,eval_idx04,-116.46686,200
220,43999,eval_idx05,-0.7461356,200
220,43999,eval_idx06,-122.61401,200
220,43999,eval_idx07,-127.75705,200
220,43999,eval_idx08,-246.32802,200
220,43999,eval_idx09,-245.10974,200
240,47999,eval_idx00,-129.3071,200
240,47999,eval_idx01,-117.8307,200
240,47999,eval_idx02,-226.96126,200
240,47999,eval_idx03,-241.4471,200
240,47999,eval_idx04,-117.46686,200
240,47999,eval_idx05,-1.9273816,200
240,47999,eval_idx06,-124.283066,200
240,47999,eval_idx07,-128.7095,200
240,47999,eval_idx08,-245.5429,200
240,47999,eval_idx09,-244.82549,200
260,51999,eval_idx00,-130.72339,200
260,51999,eval_idx01,-119.48702,200
260,51999,eval_idx02,-228.08961,200
260,51999,eval_idx03,-243.30096,200
260,51999,eval_idx04,-118.92111,200
260,51999,eval_idx05,-3.5259035,200
260,51999,eval_idx06,-126.0633,200
260,51999,eval_idx07,-129.98094,200
260,51999,eval_idx08,-247.1348,200
260,51999,eval_idx09,-246.57043,200
280,55999,eval_idx00,-132.23216,200
280,55999,eval_idx01,-121.56183,200
280,55999,eval_idx02,-230.46182,200
280,55999,eval_idx03,-245.5202,200
280,55999,eval_idx04,-120.48515,200
280,55999,eval_idx05,-4.8983393,200
280,55999,eval_idx06,-128.02448,200
280,55999,eval_idx07,-131.27632,200
280,55999,eval_idx08,-248.98735,200
280,55999,eval_idx09,-248.9233,200
300,59999,eval_idx00,-129.48297,200
300,59999,eval_idx01,-118.39138,200
300,59999,eval_idx02,-229.08484,200
300,59999,eval_idx03,-242.86195,200
300,59999,eval_idx04,-117.24371,200
300,59999,eval_idx05,-1.2243569,200
300,59999,eval_idx06,-124.76903,200
300,59999,eval_idx07,-128.09491,200
300,59999,eval_idx08,-245.64586,200
300,59999,eval_idx09,-247.11472,200
320,63999,eval_idx00,-129.34898,200
320,63999,eval_idx01,-119.73942,200
320,63999,eval_idx02,-227.16335,200
320,63999,eval_idx03,-242.96326,200
320,63999,eval_idx04,-117.61548,200
320,63999,eval_idx05,-2.0625563,200
320,63999,eval_idx06,-124.85597,200
320,63999,eval_idx07,-129.01128,200
320,63999,eval_idx08,-247.14113,200
320,63999,eval_idx09,-247.51102,200
340,67999,eval_idx00,-128.95026,200
340,67999,eval_idx01,-118.79702,200
340,67999,eval_idx02,-225.97215,200
340,67999,eval_idx03,-241.37015,200
340,67999,eval_idx04,-116.95401,200
340,67999,eval_idx05,-1.4281213,200
340,67999,eval_idx06,-124.194565,200
340,67999,eval_idx07,-128.28902,200
340,67999,eval_idx08,-245.75018,200
340,67999,eval_idx09,-247.55685,200
360,71999,eval_idx00,-127.66018,200
360,71999,eval_idx01,-117.70989,200
360,71999,eval_idx02,-224.71675,200
360,71999,eval_idx03,-242.28966,200
360,71999,eval_idx04,-116.252144,200
360,71999,eval_idx05,-0.71506345,200
360,71999,eval_idx06,-122.91223,200
360,71999,eval_idx07,-127.928505,200
360,71999,eval_idx08,-245.88635,200
360,71999,eval_idx09,-248.31607,200
380,75999,eval_idx00,-131.10506,200
380,75999,eval_idx01,-118.933205,200
380,75999,eval_idx02,-227.20767,200
380,75999,eval_idx03,-242.20168,200
380,75999,eval_idx04,-117.707886,200
380,75999,eval_idx05,-1.8194366,200
380,75999,eval_idx06,-126.10178,200
380,75999,eval_idx07,-128.4859,200
380,75999,eval_idx08,-247.33139,200
380,75999,eval_idx09,-246.71347,200
400,79999,eval_idx00,-128.99797,200
400,79999,eval_idx01,-117.3248,200
400,79999,eval_idx02,-226.56696,200
400,79999,eval_idx03,-240.43378,200
400,79999,eval_idx04,-116.6267,200
400,79999,eval_idx05,-0.7557378,200
400,79999,eval_idx06,-123.87317,200
400,79999,eval_idx07,-127.18333,200
400,79999,eval_idx08,-247.05525,200
400,79999,eval_idx09,-244.92201,200
420,83999,eval_idx00,-129.52913,200
420,83999,eval_idx01,-118.72121,200
420,83999,eval_idx02,-227.27788,200
420,83999,eval_idx03,-242.2033,200
420,83999,eval_idx04,-117.72048,200
420,83999,eval_idx05,-2.4231937,200
420,83999,eval_idx06,-124.59508,200
420,83999,eval_idx07,-128.50475,200
420,83999,eval_idx08,-249.37233,200
420,83999,eval_idx09,-246.40114,200
440,87999,eval_idx00,-130.92337,200
440,87999,eval_idx01,-118.54686,200
440,87999,eval_idx02,-225.3181,200
440,87999,eval_idx03,-241.98929,200
440,87999,eval_idx04,-117.02808,200
440,87999,eval_idx05,-1.5890676,200
440,87999,eval_idx06,-125.13493,200
440,87999,eval_idx07,-128.31712,200
440,87999,eval_idx08,-248.70825,200
440,87999,eval_idx09,-246.37057,200
460,91999,eval_idx00,-130.67194,200
460,91999,eval_idx01,-119.5121,200
460,91999,eval_idx02,-227.78603,200
460,91999,eval_idx03,-243.00679,200
460,91999,eval_idx04,-118.34171,200
460,91999,eval_idx05,-3.3890295,200
460,91999,eval_idx06,-124.74859,200
460,91999,eval_idx07,-129.02805,200
460,91999,eval_idx08,-249.7634,200
460,91999,eval_idx09,-246.64749,200
480,95999,eval_idx00,-133.07315,200
480,95999,eval_idx01,-119.333115,200
480,95999,eval_idx02,-228.18779,200
480,95999,eval_idx03,-243.06717,200
480,95999,eval_idx04,-118.79521,200
480,95999,eval_idx05,-3.1210136,200
480,95999,eval_idx06,-124.62844,200
480,95999,eval_idx07,-128.6631,200
480,95999,eval_idx08,-248.76665,200
480,95999,eval_idx09,-246.52979,200
500,99999,eval_idx00,-6.880144,200
500,99999,eval_idx01,-119.09783,200
500,99999,eval_idx02,-228.09174,200
500,99999,eval_idx03,-243.30777,200
500,99999,eval_idx04,-118.67735,200
500,99999,eval_idx05,-3.4871254,200
500,99999,eval_idx06,-124.8296,200
500,99999,eval_idx07,-128.63919,200
500,99999,eval_idx08,-248.91321,200
500,99999,eval_idx09,-247.80919,200
500,99999,eval_idx00,-6.880144,200
500,99999,eval_idx01,-119.09783,200
500,99999,eval_idx02,-228.09174,200
500,99999,eval_idx03,-243.30777,200
500,99999,eval_idx04,-118.67735,200
500,99999,eval_idx05,-3.4871254,200
500,99999,eval_idx06,-124.8296,200
500,99999,eval_idx07,-128.63919,200
500,99999,eval_idx08,-248.91321,200
500,99999,eval_idx09,-247.80919,200
