episode,global_step,sub_run_index,returns,episode_length
20,310,eval_idx00,17.0,17
20,310,eval_idx01,22.0,22
20,310,eval_idx02,15.0,15
20,310,eval_idx03,16.0,16
20,310,eval_idx04,25.0,25
20,310,eval_idx05,17.0,17
20,310,eval_idx06,13.0,13
20,310,eval_idx07,16.0,16
20,310,eval_idx08,13.0,13
20,310,eval_idx09,27.0,27
40,1066,eval_idx00,18.0,18
40,1066,eval_idx01,25.0,25
40,1066,eval_idx02,15.0,15
40,1066,eval_idx03,20.0,20
40,1066,eval_idx04,13.0,13
40,1066,eval_idx05,32.0,32
40,1066,eval_idx06,51.0,51
40,1066,eval_idx07,59.0,59
40,1066,eval_idx08,15.0,15
40,1066,eval_idx09,63.0,63
60,2224,eval_idx00,86.0,86
60,2224,eval_idx01,82.0,82
60,2224,eval_idx02,86.0,86
60,2224,eval_idx03,110.0,110
60,2224,eval_idx04,96.0,96
60,2224,eval_idx05,56.0,56
60,2224,eval_idx06,26.0,26
60,2224,eval_idx07,47.0,47
60,2224,eval_idx08,140.0,140
60,2224,eval_idx09,101.0,101
80,4593,eval_idx00,105.0,105
80,4593,eval_idx01,221.0,221
80,4593,eval_idx02,92.0,92
80,4593,eval_idx03,60.0,60
80,4593,eval_idx04,119.0,119
80,4593,eval_idx05,102.0,102
80,4593,eval_idx06,106.0,106
80,4593,eval_idx07,126.0,126
80,4593,eval_idx08,113.0,113
80,4593,eval_idx09,119.0,119
100,6065,eval_idx00,32.0,32
100,6065,eval_idx01,21.0,21
100,6065,eval_idx02,20.0,20
100,6065,eval_idx03,32.0,32
100,6065,eval_idx04,24.0,24
100,6065,eval_idx05,28.0,28
100,6065,eval_idx06,23.0,23
100,6065,eval_idx07,28.0,28
100,6065,eval_idx08,26.0,26
100,6065,eval_idx09,26.0,26
120,6463,eval_idx00,22.0,22
120,6463,eval_idx01,17.0,17
120,6463,eval_idx02,16.0,16
120,6463,eval_idx03,19.0,19
120,6463,eval_idx04,19.0,19
120,6463,eval_idx05,20.0,20
120,6463,eval_idx06,21.0,21
120,6463,eval_idx07,16.0,16
120,6463,eval_idx08,20.0,20
120,6463,eval_idx09,19.0,19
140,6879,eval_idx00,25.0,25
140,6879,eval_idx01,18.0,18
140,6879,eval_idx02,18.0,18
140,6879,eval_idx03,19.0,19
140,6879,eval_idx04,21.0,21
140,6879,eval_idx05,21.0,21
140,6879,eval_idx06,23.0,23
140,6879,eval_idx07,21.0,21
140,6879,eval_idx08,20.0,20
140,6879,eval_idx09,21.0,21
160,7263,eval_idx00,22.0,22
160,7263,eval_idx01,15.0,15
160,7263,eval_idx02,17.0,17
160,7263,eval_idx03,17.0,17
