2024-04-12 14:48:23,224 INFO    MainThread:63858 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_setup.py:_flush():76] Configure stats pid to 63858
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_setup.py:_flush():76] Loading settings from /Users/kesperlukas/.config/wandb/settings
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_setup.py:_flush():76] Loading settings from /Users/kesperlukas/Projects/RLLBC/deep_examples/notebooks/wandb/settings
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'notebook_name': 'ppo-simple-adv.ipynb'}
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_init.py:_log_setup():527] Logging user logs to /Users/kesperlukas/Projects/RLLBC/deep_examples/notebooks/logs/wandb/run-20240412_144823-jqvieyul/logs/debug.log
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_init.py:_log_setup():528] Logging internal logs to /Users/kesperlukas/Projects/RLLBC/deep_examples/notebooks/logs/wandb/run-20240412_144823-jqvieyul/logs/debug-internal.log
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_init.py:_jupyter_setup():473] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x10451bcd0>
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_init.py:init():567] calling init triggers
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {'exp_name': 'PPO', 'env_id': 'CartPole-v1', 'device': 'cpu', 'random_seed': True, 'seed': 1, 'run_name': 'CartPole-v1__PPO__1__240412_144822', 'num_envs': 4, 'enable_wandb_logging': True, 'capture_video': True, 'eval_agent': True, 'eval_count': 10, 'eval_frequency': 20, 'exp_type': None, 'num_steps': 128, 'total_timesteps': 100000, 'num_minibatches': 4, 'update_epochs': 4, 'batch_size': 512, 'minibatch_size': 128, 'learning_rate': 0.0025, 'anneal_lr': True, 'gamma': 0.99, 'norm_adv': True, 'clip_coef': 0.2, 'clip_vloss': True, 'ent_coef': 0.01, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'target_kl': None}
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_init.py:init():617] starting backend
2024-04-12 14:48:23,225 INFO    MainThread:63858 [wandb_init.py:init():621] setting up manager
2024-04-12 14:48:23,226 INFO    MainThread:63858 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-04-12 14:48:23,226 INFO    MainThread:63858 [wandb_init.py:init():629] backend started and connected
2024-04-12 14:48:23,231 INFO    MainThread:63858 [wandb_run.py:_label_probe_notebook():1299] probe notebook
2024-04-12 14:48:23,232 INFO    MainThread:63858 [wandb_init.py:init():721] updated telemetry
2024-04-12 14:48:23,250 INFO    MainThread:63858 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-04-12 14:48:23,896 INFO    MainThread:63858 [wandb_run.py:_on_init():2344] communicating current version
2024-04-12 14:48:24,268 INFO    MainThread:63858 [wandb_run.py:_on_init():2353] got version response upgrade_message: "wandb version 0.16.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-04-12 14:48:24,269 INFO    MainThread:63858 [wandb_init.py:init():805] starting run threads in backend
2024-04-12 14:48:25,896 INFO    MainThread:63858 [wandb_run.py:_console_start():2323] atexit reg
2024-04-12 14:48:25,896 INFO    MainThread:63858 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-04-12 14:48:25,896 INFO    MainThread:63858 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-04-12 14:48:25,896 INFO    MainThread:63858 [wandb_run.py:_redirect():2268] Redirects installed.
2024-04-12 14:48:25,897 INFO    MainThread:63858 [wandb_init.py:init():848] run started, returning control to user process
2024-04-12 14:48:25,897 INFO    MainThread:63858 [wandb_run.py:_tensorboard_callback():1505] tensorboard callback: logs//CartPole-v1__PPO__1__240412_144822/tb, True
2024-04-12 14:49:09,532 INFO    MainThread:63858 [wandb_run.py:_finish():2052] finishing run lukas-kesper98/RLLBC_CartPole-v1/jqvieyul
2024-04-12 14:49:09,630 INFO    MainThread:63858 [jupyter.py:save_history():445] not saving jupyter history
2024-04-12 14:49:09,630 INFO    MainThread:63858 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-12 14:49:09,630 INFO    MainThread:63858 [wandb_init.py:_jupyter_teardown():455] cleaning up jupyter logic
2024-04-12 14:49:09,630 INFO    MainThread:63858 [wandb_run.py:_atexit_cleanup():2292] got exitcode: 0
2024-04-12 14:49:09,630 INFO    MainThread:63858 [wandb_run.py:_restore():2275] restore
2024-04-12 14:49:09,630 INFO    MainThread:63858 [wandb_run.py:_restore():2281] restore done
2024-04-12 14:49:22,911 INFO    MainThread:63858 [wandb_run.py:_footer_sync_info():3879] logging synced files
