episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-18.102688,1600
0,1,eval_idx01,-17.81664,1600
0,1,eval_idx02,-17.811148,1600
0,1,eval_idx03,-17.801977,1600
0,1,eval_idx04,-17.815536,1600
0,1,eval_idx05,-17.761335,1600
0,1,eval_idx06,-17.78858,1600
0,1,eval_idx07,-17.928513,1600
0,1,eval_idx08,-18.009174,1600
0,1,eval_idx09,-17.919903,1600
20,11099,eval_idx00,-113.71725,72
20,11099,eval_idx01,-107.05867,151
20,11099,eval_idx02,-114.111595,76
20,11099,eval_idx03,-106.21707,131
20,11099,eval_idx04,-114.096725,77
20,11099,eval_idx05,-106.64987,141
20,11099,eval_idx06,-113.82007,72
20,11099,eval_idx07,-113.87186,72
20,11099,eval_idx08,-113.70741,72
20,11099,eval_idx09,-113.45489,71
40,18175,eval_idx00,-124.665565,161
40,18175,eval_idx01,-143.57306,462
40,18175,eval_idx02,-129.49857,191
40,18175,eval_idx03,-150.12521,437
40,18175,eval_idx04,-143.99391,283
40,18175,eval_idx05,-146.9636,374
40,18175,eval_idx06,-170.80379,923
40,18175,eval_idx07,-120.07633,203
40,18175,eval_idx08,-124.29645,160
40,18175,eval_idx09,-126.01615,232
60,20248,eval_idx00,-104.758484,50
60,20248,eval_idx01,-104.06729,49
60,20248,eval_idx02,-104.341835,50
60,20248,eval_idx03,-104.14582,49
60,20248,eval_idx04,-103.8082,49
60,20248,eval_idx05,-105.08519,60
60,20248,eval_idx06,-104.14656,50
60,20248,eval_idx07,-104.281715,49
60,20248,eval_idx08,-104.7862,50
60,20248,eval_idx09,-104.448784,49
80,21954,eval_idx00,-102.35892,59
80,21954,eval_idx01,-102.44861,59
80,21954,eval_idx02,-102.441605,59
80,21954,eval_idx03,-103.85758,58
80,21954,eval_idx04,-102.44111,59
80,21954,eval_idx05,-102.585175,59
80,21954,eval_idx06,-102.32775,60
80,21954,eval_idx07,-102.061485,60
80,21954,eval_idx08,-102.3313,59
80,21954,eval_idx09,-102.07519,60
100,23225,eval_idx00,-104.838165,56
100,23225,eval_idx01,-104.47619,55
100,23225,eval_idx02,-104.24349,54
100,23225,eval_idx03,-104.37179,55
100,23225,eval_idx04,-104.26235,55
100,23225,eval_idx05,-104.473404,55
100,23225,eval_idx06,-103.6485,56
100,23225,eval_idx07,-104.86839,56
100,23225,eval_idx08,-103.92306,56
100,23225,eval_idx09,-104.88626,56
120,24346,eval_idx00,-104.716736,67
120,24346,eval_idx01,-104.30106,66
120,24346,eval_idx02,-105.11297,61
120,24346,eval_idx03,-104.33708,67
120,24346,eval_idx04,-105.13801,61
120,24346,eval_idx05,-110.60962,91
120,24346,eval_idx06,-113.38927,86
120,24346,eval_idx07,-105.39426,73
120,24346,eval_idx08,-102.80587,103
120,24346,eval_idx09,-105.02724,96
140,25756,eval_idx00,-108.70906,58
140,25756,eval_idx01,-107.79258,56
140,25756,eval_idx02,-107.8443,56
140,25756,eval_idx03,-107.86368,56
140,25756,eval_idx04,-107.84873,56
140,25756,eval_idx05,-107.87137,56
140,25756,eval_idx06,-107.95692,56
140,25756,eval_idx07,-107.926994,56
140,25756,eval_idx08,-107.94784,56
140,25756,eval_idx09,-107.83124,56
160,27273,eval_idx00,-112.84558,72
160,27273,eval_idx01,-111.97013,67
160,27273,eval_idx02,-112.03843,67
160,27273,eval_idx03,-111.91506,67
160,27273,eval_idx04,-112.037766,67
160,27273,eval_idx05,-111.941216,67
160,27273,eval_idx06,-112.27972,68
160,27273,eval_idx07,-112.32415,68
160,27273,eval_idx08,-112.2936,68
160,27273,eval_idx09,-112.30842,68
180,28976,eval_idx00,-119.45517,63
180,28976,eval_idx01,-97.253365,168
180,28976,eval_idx02,-98.36011,156
180,28976,eval_idx03,-106.348656,96
180,28976,eval_idx04,-125.99967,92
180,28976,eval_idx05,-101.3888,116
180,28976,eval_idx06,-117.8057,59
180,28976,eval_idx07,-119.39969,65
180,28976,eval_idx08,-118.93858,62
180,28976,eval_idx09,-121.15493,66
200,31114,eval_idx00,-111.446236,59
200,31114,eval_idx01,-109.2699,60
200,31114,eval_idx02,-110.67424,57
200,31114,eval_idx03,-110.74486,55
200,31114,eval_idx04,-135.02754,113
200,31114,eval_idx05,-119.5959,85
200,31114,eval_idx06,-121.936195,66
200,31114,eval_idx07,-124.548935,73
200,31114,eval_idx08,-119.41192,55
200,31114,eval_idx09,-120.21502,62
220,33311,eval_idx00,-101.13665,59
220,33311,eval_idx01,-101.19336,72
