episode,global_step,sub_run_index,returns,episode_length
20,547,eval_idx00,16.0,16.0
20,547,eval_idx01,16.0,16.0
20,547,eval_idx02,51.0,51.0
20,547,eval_idx03,51.0,51.0
20,547,eval_idx04,44.0,44.0
20,547,eval_idx05,44.0,44.0
20,547,eval_idx06,39.0,39.0
20,547,eval_idx07,39.0,39.0
20,547,eval_idx08,23.0,23.0
20,547,eval_idx09,23.0,23.0
40,1087,eval_idx00,62.0,62.0
40,1087,eval_idx01,62.0,62.0
40,1087,eval_idx02,25.0,25.0
40,1087,eval_idx03,25.0,25.0
40,1087,eval_idx04,29.0,29.0
40,1087,eval_idx05,29.0,29.0
40,1087,eval_idx06,21.0,21.0
40,1087,eval_idx07,21.0,21.0
40,1087,eval_idx08,12.0,12.0
40,1087,eval_idx09,12.0,12.0
60,1775,eval_idx00,27.0,27.0
60,1775,eval_idx01,27.0,27.0
60,1775,eval_idx02,27.0,27.0
60,1775,eval_idx03,27.0,27.0
60,1775,eval_idx04,35.0,35.0
60,1775,eval_idx05,35.0,35.0
60,1775,eval_idx06,62.0,62.0
60,1775,eval_idx07,62.0,62.0
60,1775,eval_idx08,57.0,57.0
60,1775,eval_idx09,57.0,57.0
80,2473,eval_idx00,54.0,54.0
80,2473,eval_idx01,54.0,54.0
80,2473,eval_idx02,24.0,24.0
80,2473,eval_idx03,24.0,24.0
80,2473,eval_idx04,59.0,59.0
80,2473,eval_idx05,59.0,59.0
80,2473,eval_idx06,38.0,38.0
80,2473,eval_idx07,38.0,38.0
80,2473,eval_idx08,17.0,17.0
80,2473,eval_idx09,17.0,17.0
100,3380,eval_idx00,49.0,49.0
100,3380,eval_idx01,49.0,49.0
100,3380,eval_idx02,19.0,19.0
100,3380,eval_idx03,19.0,19.0
100,3380,eval_idx04,43.0,43.0
100,3380,eval_idx05,43.0,43.0
100,3380,eval_idx06,32.0,32.0
100,3380,eval_idx07,32.0,32.0
100,3380,eval_idx08,11.0,11.0
100,3380,eval_idx09,11.0,11.0
120,4297,eval_idx00,37.0,37.0
120,4297,eval_idx01,37.0,37.0
120,4297,eval_idx02,65.0,65.0
120,4297,eval_idx03,65.0,65.0
120,4297,eval_idx04,55.0,55.0
120,4297,eval_idx05,55.0,55.0
120,4297,eval_idx06,39.0,39.0
120,4297,eval_idx07,39.0,39.0
120,4297,eval_idx08,34.0,34.0
120,4297,eval_idx09,34.0,34.0
140,5330,eval_idx00,32.0,32.0
140,5330,eval_idx01,32.0,32.0
140,5330,eval_idx02,55.0,55.0
140,5330,eval_idx03,55.0,55.0
140,5330,eval_idx04,52.0,52.0
140,5330,eval_idx05,52.0,52.0
140,5330,eval_idx06,25.0,25.0
140,5330,eval_idx07,25.0,25.0
140,5330,eval_idx08,59.0,59.0
140,5330,eval_idx09,59.0,59.0
160,6392,eval_idx00,25.0,25.0
160,6392,eval_idx01,25.0,25.0
160,6392,eval_idx02,19.0,19.0
160,6392,eval_idx03,19.0,19.0
160,6392,eval_idx04,40.0,40.0
160,6392,eval_idx05,40.0,40.0
160,6392,eval_idx06,58.0,58.0
160,6392,eval_idx07,58.0,58.0
160,6392,eval_idx08,69.0,69.0
160,6392,eval_idx09,69.0,69.0
180,7977,eval_idx00,54.0,54.0
180,7977,eval_idx01,54.0,54.0
180,7977,eval_idx02,28.0,28.0
180,7977,eval_idx03,28.0,28.0
180,7977,eval_idx04,45.0,45.0
180,7977,eval_idx05,45.0,45.0
180,7977,eval_idx06,82.0,82.0
180,7977,eval_idx07,82.0,82.0
180,7977,eval_idx08,77.0,77.0
180,7977,eval_idx09,77.0,77.0
200,9787,eval_idx00,195.0,195.0
200,9787,eval_idx01,195.0,195.0
200,9787,eval_idx02,170.0,170.0
200,9787,eval_idx03,170.0,170.0
200,9787,eval_idx04,163.0,163.0
200,9787,eval_idx05,163.0,163.0
200,9787,eval_idx06,88.0,88.0
200,9787,eval_idx07,88.0,88.0
200,9787,eval_idx08,131.0,131.0
200,9787,eval_idx09,131.0,131.0
220,12252,eval_idx00,272.0,272.0
220,12252,eval_idx01,272.0,272.0
220,12252,eval_idx02,202.0,202.0
220,12252,eval_idx03,202.0,202.0
220,12252,eval_idx04,66.0,66.0
220,12252,eval_idx05,66.0,66.0
220,12252,eval_idx06,160.0,160.0
220,12252,eval_idx07,160.0,160.0
220,12252,eval_idx08,232.0,232.0
220,12252,eval_idx09,232.0,232.0
