episode,global_step,sub_run_index,returns,episode_length
0,4,eval_idx00,13.0,13
0,4,eval_idx01,24.0,24
0,4,eval_idx02,25.0,25
0,4,eval_idx03,27.0,27
0,4,eval_idx04,14.0,14
0,4,eval_idx05,25.0,25
0,4,eval_idx06,13.0,13
0,4,eval_idx07,47.0,47
0,4,eval_idx08,36.0,36
0,4,eval_idx09,16.0,16
20,608,eval_idx00,14.0,14
20,608,eval_idx01,14.0,14
20,608,eval_idx02,28.0,28
20,608,eval_idx03,39.0,39
20,608,eval_idx04,13.0,13
20,608,eval_idx05,50.0,50
20,608,eval_idx06,9.0,9
20,608,eval_idx07,28.0,28
20,608,eval_idx08,18.0,18
20,608,eval_idx09,11.0,11
40,1132,eval_idx00,17.0,17
40,1132,eval_idx01,19.0,19
40,1132,eval_idx02,15.0,15
40,1132,eval_idx03,35.0,35
40,1132,eval_idx04,10.0,10
40,1132,eval_idx05,13.0,13
40,1132,eval_idx06,51.0,51
40,1132,eval_idx07,11.0,11
40,1132,eval_idx08,11.0,11
40,1132,eval_idx09,13.0,13
60,1596,eval_idx00,11.0,11
60,1596,eval_idx01,17.0,17
60,1596,eval_idx02,21.0,21
60,1596,eval_idx03,18.0,18
60,1596,eval_idx04,14.0,14
60,1596,eval_idx05,32.0,32
60,1596,eval_idx06,57.0,57
60,1596,eval_idx07,85.0,85
60,1596,eval_idx08,58.0,58
60,1596,eval_idx09,27.0,27
80,2124,eval_idx00,12.0,12
80,2124,eval_idx01,17.0,17
80,2124,eval_idx02,22.0,22
80,2124,eval_idx03,26.0,26
80,2124,eval_idx04,15.0,15
80,2124,eval_idx05,24.0,24
80,2124,eval_idx06,20.0,20
80,2124,eval_idx07,21.0,21
80,2124,eval_idx08,22.0,22
80,2124,eval_idx09,12.0,12
100,2652,eval_idx00,9.0,9
100,2652,eval_idx01,19.0,19
100,2652,eval_idx02,20.0,20
100,2652,eval_idx03,21.0,21
100,2652,eval_idx04,16.0,16
100,2652,eval_idx05,18.0,18
100,2652,eval_idx06,36.0,36
100,2652,eval_idx07,14.0,14
100,2652,eval_idx08,16.0,16
100,2652,eval_idx09,43.0,43
120,3196,eval_idx00,12.0,12
120,3196,eval_idx01,16.0,16
120,3196,eval_idx02,16.0,16
120,3196,eval_idx03,41.0,41
120,3196,eval_idx04,32.0,32
120,3196,eval_idx05,34.0,34
120,3196,eval_idx06,23.0,23
120,3196,eval_idx07,29.0,29
120,3196,eval_idx08,37.0,37
120,3196,eval_idx09,25.0,25
140,3740,eval_idx00,14.0,14
140,3740,eval_idx01,20.0,20
140,3740,eval_idx02,27.0,27
140,3740,eval_idx03,16.0,16
140,3740,eval_idx04,18.0,18
140,3740,eval_idx05,42.0,42
140,3740,eval_idx06,15.0,15
140,3740,eval_idx07,18.0,18
140,3740,eval_idx08,39.0,39
140,3740,eval_idx09,43.0,43
160,4468,eval_idx00,16.0,16
160,4468,eval_idx01,18.0,18
160,4468,eval_idx02,26.0,26
160,4468,eval_idx03,14.0,14
160,4468,eval_idx04,40.0,40
160,4468,eval_idx05,14.0,14
160,4468,eval_idx06,37.0,37
160,4468,eval_idx07,40.0,40
160,4468,eval_idx08,23.0,23
160,4468,eval_idx09,16.0,16
180,5292,eval_idx00,11.0,11
180,5292,eval_idx01,22.0,22
180,5292,eval_idx02,30.0,30
180,5292,eval_idx03,35.0,35
180,5292,eval_idx04,48.0,48
180,5292,eval_idx05,35.0,35
180,5292,eval_idx06,53.0,53
180,5292,eval_idx07,21.0,21
180,5292,eval_idx08,55.0,55
180,5292,eval_idx09,33.0,33
200,6444,eval_idx00,17.0,17
200,6444,eval_idx01,18.0,18
200,6444,eval_idx02,45.0,45
200,6444,eval_idx03,36.0,36
200,6444,eval_idx04,46.0,46
200,6444,eval_idx05,66.0,66
200,6444,eval_idx06,39.0,39
200,6444,eval_idx07,28.0,28
200,6444,eval_idx08,64.0,64
200,6444,eval_idx09,20.0,20
220,7136,eval_idx00,23.0,23
220,7136,eval_idx01,32.0,32
220,7136,eval_idx02,33.0,33
220,7136,eval_idx03,49.0,49
220,7136,eval_idx04,25.0,25
220,7136,eval_idx05,31.0,31
220,7136,eval_idx06,23.0,23
220,7136,eval_idx07,10.0,10
220,7136,eval_idx08,17.0,17
220,7136,eval_idx09,12.0,12
240,8504,eval_idx00,23.0,23
240,8504,eval_idx01,58.0,58
240,8504,eval_idx02,116.0,116
240,8504,eval_idx03,113.0,113
240,8504,eval_idx04,146.0,146
240,8504,eval_idx05,129.0,129
240,8504,eval_idx06,73.0,73
240,8504,eval_idx07,130.0,130
240,8504,eval_idx08,182.0,182
240,8504,eval_idx09,44.0,44
260,9932,eval_idx00,51.0,51
260,9932,eval_idx01,60.0,60
260,9932,eval_idx02,62.0,62
260,9932,eval_idx03,28.0,28
260,9932,eval_idx04,17.0,17
260,9932,eval_idx05,25.0,25
260,9932,eval_idx06,126.0,126
260,9932,eval_idx07,78.0,78
260,9932,eval_idx08,69.0,69
260,9932,eval_idx09,67.0,67
280,12176,eval_idx00,105.0,105
280,12176,eval_idx01,132.0,132
280,12176,eval_idx02,151.0,151
280,12176,eval_idx03,178.0,178
280,12176,eval_idx04,140.0,140
280,12176,eval_idx05,130.0,130
280,12176,eval_idx06,23.0,23
280,12176,eval_idx07,182.0,182
280,12176,eval_idx08,285.0,285
280,12176,eval_idx09,117.0,117
300,15188,eval_idx00,85.0,85
300,15188,eval_idx01,160.0,160
300,15188,eval_idx02,182.0,182
300,15188,eval_idx03,204.0,204
300,15188,eval_idx04,104.0,104
300,15188,eval_idx05,115.0,115
300,15188,eval_idx06,327.0,327
300,15188,eval_idx07,177.0,177
300,15188,eval_idx08,261.0,261
300,15188,eval_idx09,179.0,179
320,18376,eval_idx00,45.0,45
320,18376,eval_idx01,107.0,107
320,18376,eval_idx02,109.0,109
320,18376,eval_idx03,108.0,108
