episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-1183.7178,200
0,1,eval_idx01,-1157.4132,200
0,1,eval_idx02,-1062.1119,200
0,1,eval_idx03,-1146.1144,200
0,1,eval_idx04,-1185.7651,200
0,1,eval_idx05,-1056.2566,200
0,1,eval_idx06,-1237.7106,200
0,1,eval_idx07,-1241.9731,200
0,1,eval_idx08,-1640.3352,200
0,1,eval_idx09,-1266.4336,200
20,4000,eval_idx00,-1183.2218,200
20,4000,eval_idx01,-1157.4132,200
20,4000,eval_idx02,-1062.1119,200
20,4000,eval_idx03,-1146.1144,200
20,4000,eval_idx04,-1185.7651,200
20,4000,eval_idx05,-1056.2566,200
20,4000,eval_idx06,-1237.7106,200
20,4000,eval_idx07,-1241.9731,200
20,4000,eval_idx08,-1640.3352,200
20,4000,eval_idx09,-1266.4336,200
40,8000,eval_idx00,-1183.2218,200
40,8000,eval_idx01,-1157.4132,200
40,8000,eval_idx02,-1062.1119,200
40,8000,eval_idx03,-1146.1144,200
40,8000,eval_idx04,-1185.7651,200
40,8000,eval_idx05,-1056.2566,200
40,8000,eval_idx06,-1237.7106,200
40,8000,eval_idx07,-1241.9731,200
40,8000,eval_idx08,-1640.3352,200
40,8000,eval_idx09,-1266.4336,200
60,12000,eval_idx00,-1706.9896,200
60,12000,eval_idx01,-1760.906,200
60,12000,eval_idx02,-1621.22,200
60,12000,eval_idx03,-1740.3661,200
60,12000,eval_idx04,-1689.6805,200
60,12000,eval_idx05,-1540.625,200
60,12000,eval_idx06,-1448.9512,200
60,12000,eval_idx07,-1461.4724,200
60,12000,eval_idx08,-1600.8408,200
60,12000,eval_idx09,-1505.5177,200
80,16000,eval_idx00,-126.27767,200
80,16000,eval_idx01,-141.2963,200
80,16000,eval_idx02,-675.2307,200
80,16000,eval_idx03,-125.03395,200
80,16000,eval_idx04,-132.46889,200
80,16000,eval_idx05,-2.1501408,200
80,16000,eval_idx06,-2.2594833,200
80,16000,eval_idx07,-135.4047,200
80,16000,eval_idx08,-412.4508,200
80,16000,eval_idx09,-130.46088,200
100,20000,eval_idx00,-120.8012,200
100,20000,eval_idx01,-122.043976,200
100,20000,eval_idx02,-127.053185,200
100,20000,eval_idx03,-116.702065,200
100,20000,eval_idx04,-122.5225,200
100,20000,eval_idx05,-3.4811606,200
100,20000,eval_idx06,-3.648465,200
100,20000,eval_idx07,-133.5056,200
100,20000,eval_idx08,-355.38412,200
100,20000,eval_idx09,-128.58218,200
100,20000,eval_idx00,-120.682014,200
100,20000,eval_idx01,-122.07932,200
100,20000,eval_idx02,-127.11258,200
100,20000,eval_idx03,-116.56136,200
100,20000,eval_idx04,-122.36583,200
100,20000,eval_idx05,-3.5277233,200
100,20000,eval_idx06,-3.69815,200
100,20000,eval_idx07,-133.34776,200
100,20000,eval_idx08,-355.64032,200
100,20000,eval_idx09,-128.42851,200
