episode,global_step,sub_run_index,returns,episode_length
0,1,eval_idx00,-1292.7673,200
0,1,eval_idx01,-1218.2727,200
0,1,eval_idx02,-1380.119,200
0,1,eval_idx03,-1217.8202,200
0,1,eval_idx04,-1389.2032,200
0,1,eval_idx05,-1363.9513,200
0,1,eval_idx06,-1457.8695,200
0,1,eval_idx07,-1472.2346,200
0,1,eval_idx08,-1753.9746,200
0,1,eval_idx09,-1510.3993,200
20,4000,eval_idx00,-1294.6908,200
20,4000,eval_idx01,-1218.2727,200
20,4000,eval_idx02,-1380.119,200
20,4000,eval_idx03,-1217.8202,200
20,4000,eval_idx04,-1389.2032,200
20,4000,eval_idx05,-1363.9513,200
20,4000,eval_idx06,-1457.8695,200
20,4000,eval_idx07,-1472.2346,200
20,4000,eval_idx08,-1753.9746,200
20,4000,eval_idx09,-1510.3993,200
40,8000,eval_idx00,-1294.6908,200
40,8000,eval_idx01,-1218.2727,200
40,8000,eval_idx02,-1380.119,200
40,8000,eval_idx03,-1217.8202,200
40,8000,eval_idx04,-1389.2032,200
40,8000,eval_idx05,-1363.9513,200
40,8000,eval_idx06,-1457.8695,200
40,8000,eval_idx07,-1472.2346,200
40,8000,eval_idx08,-1753.9746,200
40,8000,eval_idx09,-1510.3993,200
60,12000,eval_idx00,-1671.5896,200
60,12000,eval_idx01,-1715.7872,200
60,12000,eval_idx02,-1591.7224,200
60,12000,eval_idx03,-1697.977,200
60,12000,eval_idx04,-1654.602,200
60,12000,eval_idx05,-1489.5135,200
60,12000,eval_idx06,-1541.5977,200
60,12000,eval_idx07,-1555.4183,200
60,12000,eval_idx08,-1783.3,200
60,12000,eval_idx09,-1606.2856,200
80,16000,eval_idx00,-124.744804,200
80,16000,eval_idx01,-138.6317,200
80,16000,eval_idx02,-129.41039,200
80,16000,eval_idx03,-124.87364,200
80,16000,eval_idx04,-130.95032,200
80,16000,eval_idx05,-3.8645706,200
80,16000,eval_idx06,-4.186906,200
80,16000,eval_idx07,-133.68994,200
80,16000,eval_idx08,-382.6716,200
80,16000,eval_idx09,-129.029,200
100,20000,eval_idx00,-123.36267,200
100,20000,eval_idx01,-131.46736,200
100,20000,eval_idx02,-129.26227,200
100,20000,eval_idx03,-115.73287,200
100,20000,eval_idx04,-127.22398,200
100,20000,eval_idx05,-2.8420093,200
100,20000,eval_idx06,-3.433016,200
100,20000,eval_idx07,-133.30006,200
100,20000,eval_idx08,-352.6783,200
100,20000,eval_idx09,-128.5371,200
120,24000,eval_idx00,-121.76733,200
120,24000,eval_idx01,-137.83821,200
120,24000,eval_idx02,-128.4151,200
120,24000,eval_idx03,-115.8042,200
120,24000,eval_idx04,-125.46474,200
120,24000,eval_idx05,-3.272988,200
120,24000,eval_idx06,-3.535409,200
120,24000,eval_idx07,-132.37982,200
120,24000,eval_idx08,-244.1597,200
120,24000,eval_idx09,-127.08582,200
140,28000,eval_idx00,-121.74844,200
140,28000,eval_idx01,-128.28903,200
140,28000,eval_idx02,-129.29529,200
140,28000,eval_idx03,-115.98525,200
140,28000,eval_idx04,-125.45325,200
140,28000,eval_idx05,-3.1953151,200
